Cross Validation,Bootstrapping
-8.14599543698651,-7.256111066261608
-7.291028097405616,-7.291028097405616
-7.447062246044647,-7.447062246044647
-7.580634291771546,-7.580634291771546
-6.732928801561723,-6.732928801561723
-7.068388884203313,-7.068388884203313
-7.179090965897889,-7.179090965897889
-6.829730115659523,-6.829730115659523
-7.0219586972766095,-7.0219586972766095
-7.309809462224278,-7.309809462224278
-7.407769296422561,-7.407769296422561
-6.864224527360393,-6.864224527360393
-6.815233475115503,-6.815233475115503
-6.827385472864601,-6.827385472864601
-7.933933666185829,-7.933933666185829
-8.437204141435812,-7.78602561994913
-7.559257182385879,-7.559257182385879
-6.755509732681423,-6.755509732681423
-7.158598778836255,-7.158598778836255
-7.460987780922628,-7.460987780922628
-6.7248771120222335,-6.7248771120222335
-7.326473768938249,-7.326473768938249
-7.525198104297653,-7.525198104297653
-6.9909219370951865,-6.9909219370951865
-7.462654533489286,-7.462654533489286
-7.328554926455067,-7.328554926455067
-7.489374060528025,-7.489374060528025
-7.024945620357306,-7.024945620357306
-7.195729078472477,-7.195729078472477
-7.928398359687325,-6.882858325264494
-7.263456585846362,-7.263456585846362
-6.518559980372352,-7.4303786356131605
-7.747287115162224,-7.747287115162224
-6.688614707496667,-6.688614707496667
-6.783122002440425,-6.783122002440425
-7.072176092564721,-7.639667042259187
-7.03456363717322,-7.03456363717322
-6.811552922228915,-6.811552922228915
-7.78453461586651,-7.78453461586651
-7.747279033274512,-7.747279033274512
-7.272962666483736,-7.272962666483736
-7.379640013736218,-7.379640013736218
-6.941859942950837,-6.941859942950837
-7.628961286443255,-7.628961286443255
-7.966581401833652,-7.510334040583135
-6.872441722929454,-7.575148448388834
-7.624621879083769,-7.111830981894796
-7.022070610619881,-7.326896264147267
-7.119196477641043,-7.119196477641043
-7.34626287755766,-7.004187973364558
-7.641326231900831,-7.641326231900831
-7.110827896610877,-7.110827896610877
-7.448393532961906,-7.448393532961906
-6.928566738123892,-6.928566738123892
-8.021465463139737,-7.163878492813628
-7.44488617696529,-7.44488617696529
-7.165005736511569,-7.165005736511569
-7.4306760427210286,-7.4306760427210286
-7.38145125196122,-7.38145125196122
-7.277583886188622,-7.277583886188622
-7.227362911718834,-7.227362911718834
-7.6873808219062685,-7.6873808219062685
-7.476961607392437,-7.476961607392437
-6.950158285430829,-6.950158285430829
-7.406382304633054,-7.406382304633054
-7.054881085590235,-7.054881085590235
-7.357760668205376,-7.357760668205376
-7.0181260277450725,-7.0181260277450725
-7.206997615468108,-7.206997615468108
-7.500012597447514,-7.500012597447514
-7.447832184609757,-7.447832184609757
-7.045849901343516,-7.045849901343516
-7.439653407956263,-7.439653407956263
-8.445135615340714,-7.886150648375663
-7.231895342702273,-7.231895342702273
-7.527155741824398,-6.821639633269986
-7.254156059803669,-7.254156059803669
-7.025960676634029,-7.025960676634029
-6.787969477612682,-6.787969477612682
-7.780789960900908,-7.780789960900908
-7.321514131021601,-7.321514131021601
-7.303110022618854,-7.303110022618854
-7.186701275062305,-7.186701275062305
-7.209419118471836,-7.209419118471836
-7.230992341757354,-7.230992341757354
-7.913492028818188,-8.042858324952466
-7.589333480368916,-7.589333480368916
-7.784437692077314,-7.45635835444109
-7.34322175073846,-7.34322175073846
-6.929626066182866,-7.56973212313736
-7.616144668696739,-7.616144668696739
-7.546447052677669,-7.546447052677669
-7.463855591637919,-7.463855591637919
-6.727588327935087,-7.569528141572755
-7.777652185094411,-7.489549993537812
-7.455421225783816,-7.455421225783816
-7.224067020807545,-7.224067020807545
-7.677454359303987,-7.677454359303987
-7.00108428135806,-7.00108428135806
-6.898685938272259,-6.898685938272259
