Cross Validation,Bootstrapping
-6.671820103302097,-6.671820103302097
-6.620615788421752,-6.620615788421752
-6.858038395983223,-6.858038395983223
-6.70294852977279,-6.70294852977279
-6.9555462580868905,-6.9555462580868905
-6.794928410524707,-6.794928410524707
-6.700399304878699,-6.700399304878699
-6.793316458675535,-6.793316458675535
-6.550656138439942,-6.550656138439942
-6.970431419932838,-7.8231207743238915
-6.92125186477549,-6.92125186477549
-6.9492781317491445,-6.9492781317491445
-6.691365193085173,-6.691365193085173
-7.021319318189208,-7.021319318189208
-6.424603423029432,-6.424603423029432
-6.935548729073656,-6.935548729073656
-6.717595359186085,-6.717595359186085
-6.878057675592359,-6.878057675592359
-6.768670017040627,-6.768670017040627
-6.433274902268521,-6.433274902268521
-6.737233196651355,-6.737233196651355
-6.386992728625758,-6.386992728625758
-6.644248450621271,-6.644248450621271
-6.682489245613151,-6.682489245613151
-6.883533703747053,-6.883533703747053
-6.779388614838149,-6.779388614838149
-6.829699689494853,-6.829699689494853
-6.587150714552935,-6.587150714552935
-6.530623981418939,-6.530623981418939
-6.768676557316657,-6.768676557316657
-6.598133269379099,-6.598133269379099
-6.336915192514082,-6.336915192514082
-6.481326421647305,-7.030822414785483
-6.710308021618724,-6.710308021618724
-6.76109072470299,-6.76109072470299
-6.980180890203629,-6.980180890203629
-6.798099593027251,-6.798099593027251
-6.729079909741733,-6.729079909741733
-6.678608630920081,-6.678608630920081
-6.648638175362522,-6.648638175362522
-6.711422021031951,-6.711422021031951
-6.635452633034575,-6.635452633034575
-6.709965065430549,-6.709965065430549
-6.918782915776447,-6.918782915776447
-7.004223359502685,-7.004223359502685
-6.997054969049703,-6.997054969049703
-6.894037191614206,-6.894037191614206
-6.518437632248665,-6.518437632248665
-6.544360607355408,-6.544360607355408
-6.782461695548551,-6.782461695548551
-6.713325095160439,-6.713325095160439
-6.753452233086179,-6.753452233086179
-6.651151885298036,-6.651151885298036
-6.931477380925431,-6.931477380925431
-6.891755175180175,-6.891755175180175
-6.699179751587231,-6.699179751587231
-6.603675372435448,-6.603675372435448
-6.849846752818221,-6.849846752818221
-6.8761739219760205,-6.8761739219760205
-6.974860950940267,-6.974860950940267
-6.499874471382037,-6.499874471382037
-6.258170806086396,-6.258170806086396
-6.826917061374906,-6.826917061374906
-6.433713821757417,-6.433713821757417
-6.829211289684738,-6.829211289684738
-6.937731986484114,-6.937731986484114
-6.535497722910621,-6.535497722910621
-6.923089760017717,-6.923089760017717
-6.59291137133699,-6.59291137133699
-6.875166528829799,-6.875166528829799
-6.7717808554480685,-6.7717808554480685
-6.527368445200112,-6.527368445200112
-6.6753135694158505,-6.6753135694158505
-6.779049972099375,-6.779049972099375
-6.64614845931517,-6.64614845931517
-6.243322987994084,-6.243322987994084
-6.821167721124354,-6.821167721124354
-6.7644475668335735,-6.7644475668335735
-6.799494997065472,-6.799494997065472
-6.944381375025705,-6.944381375025705
-6.381767097152264,-6.381767097152264
-6.626372849136873,-6.626372849136873
-6.58715749678927,-6.58715749678927
-6.974813874493725,-6.974813874493725
-6.465667546364523,-6.465667546364523
-6.672757219679896,-6.672757219679896
-7.085214684538222,-7.085214684538222
-6.964427490394088,-6.964427490394088
-6.633112106391809,-6.633112106391809
-6.7168431645728015,-6.7168431645728015
-6.727899186484796,-6.727899186484796
-6.628981952023672,-6.628981952023672
-6.61065513478966,-6.61065513478966
-6.446578496969953,-6.446578496969953
-6.943093505430489,-6.943093505430489
-6.703993519726907,-6.703993519726907
-6.843538644826211,-6.843538644826211
-6.981849779667395,-6.981849779667395
-6.797533907727392,-6.797533907727392
-6.767688925128687,-6.767688925128687
