Cross Validation,Bootstrapping
-6.18448045539817,-6.18448045539817
-6.720476539138677,-6.720476539138677
-6.661945973180251,-6.661945973180251
-7.061178109022012,-7.061178109022012
-6.760254765078007,-6.760254765078007
-6.517421993543395,-6.517421993543395
-6.61403328475107,-6.61403328475107
-6.966146388026819,-6.966146388026819
-6.806158926406512,-6.806158926406512
-6.409816115714062,-6.409816115714062
-6.764045692708525,-6.764045692708525
-6.859782447916999,-6.859782447916999
-6.873583312355009,-6.873583312355009
-6.4614579288176595,-6.4614579288176595
-6.744766836480183,-6.744766836480183
-6.539955428435439,-6.539955428435439
-6.862176939816001,-6.862176939816001
-6.770481401603151,-6.770481401603151
-6.492129152422904,-6.492129152422904
-6.511159761902276,-6.511159761902276
-6.735173008724168,-6.735173008724168
-6.554677056727514,-6.554677056727514
-6.571509104296982,-6.571509104296982
-6.301684418679569,-6.301684418679569
-6.773044194094518,-6.773044194094518
-6.760249560483016,-6.760249560483016
-6.717684013276751,-6.717684013276751
-6.830572839023382,-6.830572839023382
-7.110732678294882,-7.110732678294882
-6.681380797988687,-6.681380797988687
-6.533738510302189,-6.533738510302189
-7.050274531244413,-7.050274531244413
-6.502812590790018,-6.502812590790018
-6.622028292816607,-6.622028292816607
-6.69255767560523,-6.69255767560523
-6.883767369975546,-6.883767369975546
-6.568439413189725,-6.568439413189725
-6.821522962626668,-6.821522962626668
-6.6957572141613655,-6.6957572141613655
-6.7066420913582325,-6.7066420913582325
-6.495793092955251,-6.495793092955251
-6.7174585932548,-6.7174585932548
-6.576534219528341,-6.576534219528341
-7.054574732988214,-7.054574732988214
-6.620550510564507,-6.620550510564507
-6.747845188425381,-6.747845188425381
-6.511364067713926,-6.511364067713926
-6.414534710236538,-6.414534710236538
-6.8664738973659,-6.8664738973659
-6.480179259381709,-6.480179259381709
-6.990256518609843,-6.990256518609843
-6.748565601441283,-6.748565601441283
-6.436522979568385,-6.436522979568385
-6.523331762011512,-6.523331762011512
-6.597363784584571,-6.597363784584571
-6.760240317454595,-6.760240317454595
-6.666315908306569,-6.666315908306569
-6.927242916261952,-6.927242916261952
-7.384181749372323,-7.384181749372323
-6.623887896470564,-6.623887896470564
-7.008484379331681,-7.008484379331681
-6.553992149087604,-6.553992149087604
-6.5938940035966604,-6.5938940035966604
-6.681059100667033,-6.681059100667033
-6.522201077135946,-6.522201077135946
-6.4713432274498235,-6.4713432274498235
-6.517796438588537,-6.517796438588537
-6.725313008781361,-6.725313008781361
-6.78542794342645,-6.78542794342645
-7.060518490834686,-7.060518490834686
-6.998784464027929,-6.998784464027929
-7.065354790050375,-7.065354790050375
-6.667473540559685,-6.667473540559685
-7.085041699683082,-7.085041699683082
-7.110346061017386,-7.110346061017386
-6.467861242485611,-6.467861242485611
-6.669662339567476,-6.669662339567476
-7.005132462845535,-7.005132462845535
-6.354049938089023,-6.354049938089023
-6.9058269668481564,-6.9058269668481564
-6.719000720680729,-6.719000720680729
-6.474533241061667,-6.474533241061667
-6.943823909155686,-6.943823909155686
-6.409290780139112,-6.409290780139112
-6.762576061635804,-6.762576061635804
-6.9734331157066975,-6.9734331157066975
-6.78798876663307,-6.78798876663307
-6.8513665425475825,-6.8513665425475825
-6.820785037226298,-6.820785037226298
-6.348920221434271,-6.348920221434271
-6.6293772107081965,-6.6293772107081965
-7.136710138753631,-7.136710138753631
-6.720154012002431,-6.720154012002431
-6.754859590427322,-6.754859590427322
-6.73023166673211,-6.73023166673211
-6.968128619250015,-6.968128619250015
-6.40444148245101,-6.40444148245101
-6.3079065454408765,-6.3079065454408765
-7.2080709533851905,-7.2080709533851905
-7.09163143091911,-7.09163143091911
