Cross Validation,Bootstrapping
-6.319492824282763,-6.319492824282763
-6.842102831589122,-6.842102831589122
-6.446589065086153,-6.446589065086153
-6.7430090983917665,-6.7430090983917665
-6.441526829418322,-6.441526829418322
-7.053654650172068,-7.053654650172068
-6.940014521131153,-6.940014521131153
-6.526683947424661,-6.526683947424661
-6.621537512852748,-6.621537512852748
-6.804662747163584,-6.804662747163584
-6.790805743663396,-6.790805743663396
-6.54650598339161,-6.54650598339161
-7.528647181721972,-7.528647181721972
-6.650858774597429,-6.650858774597429
-6.63128548324431,-6.63128548324431
-6.688033527270212,-6.688033527270212
-6.978114723473921,-6.978114723473921
-6.820724727296577,-6.820724727296577
-6.905613874549791,-6.905613874549791
-7.0144618781962205,-7.0144618781962205
-7.144009583723478,-7.144009583723478
-7.189045192643077,-7.189045192643077
-7.268046358934761,-7.268046358934761
-6.575536348311037,-6.575536348311037
-6.716101492117318,-6.716101492117318
-6.985034313546893,-6.985034313546893
-6.553864746314721,-6.553864746314721
-6.746402417900718,-6.746402417900718
-7.013944050329725,-7.013944050329725
-6.81328625742125,-6.81328625742125
-6.899446333932048,-6.899446333932048
-6.804646546703622,-6.804646546703622
-6.924290078257837,-6.924290078257837
-7.016100383425366,-7.016100383425366
-6.793821802108406,-6.793821802108406
-7.033939619794414,-7.033939619794414
-6.5714895175950865,-6.5714895175950865
-6.877662930272622,-6.877662930272622
-6.933163048430847,-6.933163048430847
-6.730878607318596,-6.730878607318596
-7.198885603776451,-7.198885603776451
-6.587553588498798,-6.587553588498798
-7.0794702185915845,-7.0794702185915845
-6.64709571339699,-6.64709571339699
-6.974693457581997,-6.974693457581997
-7.007230707026456,-7.007230707026456
-6.758554723581658,-6.758554723581658
-6.947431087900016,-6.947431087900016
-7.3313520332293365,-7.3313520332293365
-6.274975128182472,-6.274975128182472
-6.663267356913297,-6.663267356913297
-6.932781269135213,-6.932781269135213
-7.221561411865557,-7.221561411865557
-6.756455064362691,-6.756455064362691
-6.368933344817822,-6.368933344817822
-6.863015268312614,-6.863015268312614
-6.648696965545562,-6.648696965545562
-7.083992298890643,-7.083992298890643
-7.257701560553451,-6.71067589375163
-6.962874367160973,-6.962874367160973
-7.022489085568186,-7.022489085568186
-6.608457784452359,-6.608457784452359
-7.089052198535299,-7.089052198535299
-6.904942455185946,-6.904942455185946
-6.93473711135139,-6.93473711135139
-7.1201140054655285,-7.1201140054655285
-6.886003870805067,-6.886003870805067
-7.283592821614725,-7.283592821614725
-6.751939347420884,-6.751939347420884
-6.750550205636104,-6.750550205636104
-6.957056945795106,-6.957056945795106
-7.172452135367993,-7.172452135367993
-6.867910752607266,-6.867910752607266
-6.6332934513168995,-6.6332934513168995
-6.655722392754902,-6.655722392754902
-6.056747065755377,-6.056747065755377
-6.883213810239432,-6.883213810239432
-7.111467894260975,-7.111467894260975
-6.539193911888155,-6.539193911888155
-7.117430288969093,-7.117430288969093
-6.84878899051781,-6.84878899051781
-6.634481899406487,-6.634481899406487
-6.747659071220361,-6.747659071220361
-7.086784895283231,-7.086784895283231
-7.078165424798674,-7.078165424798674
-6.993561673051217,-6.993561673051217
-6.828349702874913,-6.828349702874913
-6.840120238549348,-6.840120238549348
-6.916076359580275,-6.916076359580275
-6.7724861386699775,-6.7724861386699775
-6.794079821343871,-6.794079821343871
-6.526643579927687,-6.526643579927687
-7.552871160705432,-6.832740744351507
-6.496564315054618,-6.496564315054618
-6.456621767504426,-6.456621767504426
-6.548258010768667,-6.548258010768667
-6.364049158739732,-6.364049158739732
-6.90199438986346,-6.90199438986346
-7.20089918840455,-7.20089918840455
-6.446395266989698,-6.446395266989698
