Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning,NGS,UNGS,NV
-6.800292767,-5.061518597,-6.660211904,-6.660211904,-6.491630927,-6.504364297,-7.642688355,-7.642688355,-6.805861267,-4.821501544,-4.821501544,-4.821501544,-6.686532374,-5.835239438,-5.835239438,-6.799214072,-7.137378432,-5.365823613,-5.365823613,-7.64513278,-7.956400857,-5.72338001,-5.72338001,-6.872012701,-8.4278217,-6.792466047,-6.792466047,-6.792466047,-5.460462238,-5.149052787,-5.149052787,-5.149052787,0,-7.730406953,-7.730406953,-7.730406953
-5.405168944,-5.780546641,-5.780546641,-5.780546641,-6.335234457,-4.65416401,-6.15417486,-7.525660181,-6.754323532,-6.400878674,-6.400878674,-6.400878674,-7.25959961,-6.016595681,-6.016595681,-6.016595681,-6.589241605,-5.552911222,-5.552911222,-5.552911222,-5.63327445,-5.672267987,-5.672267987,-6.688370571,-7.913866322,-5.579290618,-5.579290618,-5.579290618,-8.31356594,-5.96557203,-5.96557203,-5.96557203,0,-8.466303554,-8.466303554,-8.466303554
-6.910671183,-5.322385889,-5.322385889,-7.187085158,-5.948591289,-5.844106195,-5.844106195,-6.878605168,-6.119755511,-6.539675764,-6.539675764,-6.539675764,-5.908099044,-6.654230602,-6.654230602,-6.654230602,-6.697819021,-7.552838208,-7.552838208,-7.665695519,-7.695782211,-6.893711943,-6.893711943,-7.560544274,-7.895869668,-7.211530532,-7.211530532,-7.211530532,-8.10325112,-7.398018186,-7.398018186,-7.398018186,0,-6.769361422,-6.769361422,-6.769361422
-6.650198845,-6.602995763,-6.602995763,-6.602995763,-6.833134235,-3.182012899,-6.284996287,-6.284996287,-5.876543797,-5.934694988,-7.150882845,-7.150882845,-5.670362472,-6.098133038,-6.098133038,-6.098133038,-6.379132517,-6.060174785,-6.060174785,-6.698947513,-6.311130534,-5.544587004,-5.544587004,-5.544587004,-8.065196623,-7.912226286,-7.912226286,-7.912226286,-7.53261847,-6.443669872,-6.443669872,-6.443669872,0,-7.744798274,-7.744798274,-7.744798274
-7.086503992,-6.719040831,-6.719040831,-6.719040831,-6.44466387,-4.61165159,-7.128980557,-7.128980557,-7.516171575,-7.297574217,-7.297574217,-7.297574217,-5.615110057,-5.460852718,-5.460852718,-5.460852718,-7.457357951,-5.763830206,-5.763830206,-6.701620454,-6.501400701,-6.775720997,-6.775720997,-6.775720997,-6.614567203,-6.510579315,-6.510579315,-6.510579315,-7.644967721,-7.540460269,-7.540460269,-7.540460269,0,-7.091756667,-7.091756667,-7.091756667
-7.599223809,-6.757739123,-6.757739123,-8.259009428,-6.237728123,-4.979939322,-7.016416105,-7.016416105,-7.968033527,-7.099863022,-7.099863022,-7.099863022,-5.861893202,-5.780864847,-5.780864847,-5.780864847,-6.175831578,-7.627078549,-7.63775451,-7.63775451,-6.851367552,-6.602286037,-6.602286037,-8.004191907,-8.045443403,-6.582660495,-6.582660495,-6.582660495,-7.701068413,-7.389657485,-7.389657485,-7.389657485,0,-8.412628384,-8.412628384,-8.412628384
-6.450697847,-4.83793807,-6.329300886,-6.329300886,-5.060416846,-4.590131114,-6.200025665,-6.200025665,-5.694736821,-6.763476735,-6.763476735,-6.763476735,-7.876714576,-5.812289383,-5.812289383,-6.906407351,-7.203925115,-4.72807555,-4.72807555,-6.14583735,-7.96963654,-6.86229173,-6.86229173,-6.86229173,-7.739360565,-7.649205161,-7.649205161,-7.649205161,-7.721948389,-6.610048706,-6.610048706,-6.610048706,0,-8.311805606,-8.311805606,-8.311805606
-4.672853991,-5.457232752,-5.457232752,-5.457232752,-5.878654209,-5.406794842,-6.254338927,-6.254338927,-7.816354414,-6.015653561,-7.215545534,-7.215545534,-7.712767277,-5.98245523,-7.166410031,-7.166410031,-7.524305423,-5.34790708,-5.34790708,-6.403183877,-6.435141473,-7.005150271,-7.005150271,-7.045136949,-7.705234194,-5.734458375,-5.734458375,-5.734458375,-7.517970088,-5.395390326,-5.395390326,-5.395390326,0,-7.903246015,-7.903246015,-7.903246015
-5.890669891,-5.790294403,-5.790294403,-7.064185842,-7.786800727,-6.584166327,-7.7436465,-7.7436465,-8.02471154,-7.426989917,-7.426989917,-7.426989917,-6.70808455,-5.858330797,-5.858330797,-5.858330797,-6.024561274,-6.384455871,-6.384455871,-8.20631657,-6.979642752,-7.377037957,-7.377037957,-7.377037957,-6.826282963,-5.716711335,-5.716711335,-5.716711335,-8.490865598,-7.592337369,-7.592337369,-7.592337369,0,-6.704539527,-6.704539527,-6.704539527
-5.952571232,-5.181739307,-5.181739307,-5.181739307,-7.22469991,-5.983795579,-5.983795579,-7.999837433,-6.768609685,-7.091079367,-7.778191534,-7.778191534,-5.592770638,-6.256862988,-6.256862988,-6.256862988,-5.738068403,-5.738068403,-5.738068403,-5.738068403,-8.335586196,-6.807966613,-6.807966613,-7.844879295,-8.389524156,-6.800448014,-6.800448014,-6.800448014,-5.754690096,-7.853710155,-7.853710155,-7.853710155,0,-7.036971577,-7.036971577,-7.036971577
