Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-7.942771375450622,-7.78052352753012,-7.78052352753012,-7.78052352753012,-7.139850010047151,-6.885301971251675,-6.885301971251675,-6.885301971251675,-7.126602905095719,-7.518573637900114,-7.518573637900114,-7.518573637900114,-6.847447185778995,-6.687713583801637,-6.687713583801637,-7.120489179571612,-6.6511952632158025,-6.712254550596078,-6.712254550596078,-6.712254550596078,-6.396885753640321,-6.600466221019505,-6.600466221019505,-6.600466221019505,-6.835619464009618,-6.96168815718378,-7.0362095171042895,-7.512601976138036,-6.72883288872848,-6.712703048701394,-6.932794785995643,-6.932794785995643,-6.933184159882307,-6.950910351618022,-7.527291866279733,-7.527291866279733
-8.738951219556125,-8.460883009053203,-8.460883009053203,-8.460883009053203,-7.654696465191851,-7.683618060632424,-7.683618060632424,-7.683618060632424,-7.775533262290468,-7.095291821400879,-7.095291821400879,-7.532379759372018,-6.328428902317221,-6.33969684051475,-6.33969684051475,-7.025858499341004,-7.065259536725604,-7.015852766450876,-7.015852766450876,-7.015852766450876,-6.765348699209998,-6.975707005601554,-6.975707005601554,-6.975707005601554,-6.494876464691398,-6.482284675340578,-6.649655925469802,-6.649655925469802,-6.9151946190812135,-6.775485252234157,-6.775485252234157,-6.8968927966277045,-6.926920121470163,-6.895913258977141,-6.895913258977141,-6.895913258977141
-7.417392266302386,-7.799211806656494,-7.799211806656494,-7.799211806656494,-7.506392907485514,-7.6096337520641075,-7.6096337520641075,-7.6096337520641075,-7.428529650054377,-6.799296498250702,-6.799296498250702,-6.799296498250702,-7.423156147779073,-7.267406403390439,-7.267406403390439,-7.267406403390439,-7.168145942581787,-7.179652953605043,-7.179652953605043,-7.179652953605043,-7.151986981622403,-6.844734984929966,-6.844734984929966,-7.109025946635282,-6.634183317065112,-6.707059092706506,-6.707059092706506,-7.216671564591151,-7.464754747626852,-7.171038002854239,-7.615134912417324,-7.615134912417324,-6.9982817289228105,-7.1902877339578986,-7.776723894334151,-7.776723894334151
-8.4508185057344,-7.613481689501139,-7.613481689501139,-7.613481689501139,-7.824426115682179,-7.3064483972385394,-7.3064483972385394,-7.3064483972385394,-7.787901878909256,-7.34539883108897,-7.34539883108897,-7.34539883108897,-7.260897432572211,-7.312055822744675,-7.312055822744675,-7.312055822744675,-7.116048838521126,-7.147572776107813,-7.147572776107813,-7.147572776107813,-7.217086313109329,-7.366263751780883,-7.366263751780883,-7.366263751780883,-6.611846017371466,-6.981838513701762,-6.981838513701762,-6.981838513701762,-6.684992734881809,-6.734246861757346,-6.946019542637476,-6.946019542637476,-7.0304904991632355,-6.691355689313161,-7.616989292325869,-7.616989292325869
-8.1268374103012,-8.685424833748998,-8.685424833748998,-8.685424833748998,-6.815891091964426,-7.7460850193300015,-7.7460850193300015,-7.7460850193300015,-7.283889700025858,-7.4589131441225405,-7.4589131441225405,-7.4589131441225405,-7.284263265410145,-7.294292315054249,-7.294292315054249,-7.380468794183859,-7.502339400275373,-7.071725397646492,-7.071725397646492,-7.116585939975448,-6.778281746158809,-6.716601716026613,-6.7730021649271865,-6.867975782772859,-6.880902482947636,-6.895412822154294,-7.493197339291498,-7.493197339291498,-7.11371480080336,-7.373268385533908,-7.373268385533908,-7.373268385533908,-7.6824384950764735,-6.933017605853278,-7.560828699098625,-7.560828699098625
-8.172149577468094,-8.514490513720151,-8.514490513720151,-8.514490513720151,-7.442814442713278,-7.219065074574432,-7.219065074574432,-7.219065074574432,-6.934377150401066,-6.951510670826086,-6.951510670826086,-6.951510670826086,-6.96580632713462,-7.4135883210300735,-7.4135883210300735,-7.4135883210300735,-7.066695223347141,-7.07642967012083,-7.07642967012083,-7.07642967012083,-7.0829125399844735,-7.296245426605552,-7.296245426605552,-7.296245426605552,-6.910664014883949,-7.021626227812071,-7.164536170877245,-7.31630899777424,-6.934372971864294,-7.19040488891558,-7.19040488891558,-7.19040488891558,-7.289948036091863,-6.856088001967696,-8.04256089626292,-8.04256089626292
-7.23301994966941,-7.557949748787027,-7.557949748787027,-7.557949748787027,-7.391597807671861,-7.776278040389865,-7.776278040389865,-7.776278040389865,-7.602132319681971,-7.406788173700618,-7.406788173700618,-7.406788173700618,-6.246244539756327,-7.057383307956679,-7.057383307956679,-7.057383307956679,-7.307731814123871,-7.042140108778333,-7.042140108778333,-7.309687635676895,-6.773266945922618,-6.93701544543888,-6.93701544543888,-6.93701544543888,-6.668538487831143,-6.8469706038455564,-6.8469706038455564,-6.8469706038455564,-7.196515044281139,-7.040601331875282,-7.040601331875282,-7.372256609865937,-6.434209139645426,-6.56328847560029,-6.56328847560029,-7.081290133214745
-8.118460992995239,-8.283606883965813,-8.283606883965813,-8.283606883965813,-7.470180228314571,-7.894263781560468,-7.894263781560468,-7.894263781560468,-6.778916101057313,-7.1021098994886565,-7.339969328829407,-7.339969328829407,-6.600067654167128,-6.799003000774892,-6.799003000774892,-6.973335434039317,-6.993589146408663,-7.038160231810951,-7.038160231810951,-7.038160231810951,-7.0005677235393815,-6.844452369037558,-7.063578386931535,-7.063578386931535,-7.157217893617379,-7.253745439907691,-7.253745439907691,-7.253745439907691,-6.685299056917864,-6.481687208611946,-6.776931824059301,-6.776931824059301,-7.391304126849244,-6.794158678821848,-6.794158678821848,-7.2713322239014
-8.8965774625095,-7.352158289123651,-7.352158289123651,-7.352158289123651,-7.409665733897489,-6.721071617174003,-6.721071617174003,-6.721071617174003,-7.110593906429568,-7.628578427734969,-7.628578427734969,-7.628578427734969,-7.817983039720362,-7.152781783748006,-7.152781783748006,-7.656222759531965,-7.099474535303297,-6.656678566640113,-6.837572145284617,-6.837572145284617,-7.175757722259179,-7.014272125121353,-7.014272125121353,-7.014272125121353,-6.659776525916799,-6.9257638305550735,-6.9257638305550735,-6.9257638305550735,-6.828148167952277,-6.766955465292419,-6.790348151355346,-7.279629253516061,-7.118342859158411,-7.313280067409117,-7.313280067409117,-7.313280067409117
-7.721182667915247,-8.246733467316718,-8.246733467316718,-8.246733467316718,-7.233774263352304,-7.580088021401166,-7.580088021401166,-7.580088021401166,-6.981419508987919,-6.5879023363962,-6.5879023363962,-6.5879023363962,-6.764353755646763,-7.014644217430485,-7.014644217430485,-7.182765117953676,-6.537949022916062,-6.66148896340734,-6.948677497496512,-6.948677497496512,-6.904713527381109,-7.182031519069037,-7.182031519069037,-7.182031519069037,-6.6007776100709314,-6.81851374072567,-6.81851374072567,-6.81851374072567,-7.220786897219125,-6.835649633065621,-6.835649633065621,-6.835649633065621,-6.621007601145733,-6.625848364068542,-6.625848364068542,-6.625848364068542
