Cross Validation,Bootstrapping
-6.509998177677542,-6.839951034258686
-7.082136465419449,-6.669525169010018
-6.671228326968299,-7.147671507841511
-5.681492513600137,-6.457201407406177
-7.113526193077223,-6.708459272081736
-6.008100611586388,-6.511162232574435
-7.086125079851553,-6.574018435248243
-6.546953816387228,-6.546953816387228
-6.782198632475114,-5.1824509662535325
-6.071146939911467,-6.6154404247727445
-6.384576121821482,-6.384576121821482
-6.621841686955641,-6.621841686955641
-6.857301413782365,-5.986992109706496
-6.423501906753801,-6.423501906753801
-6.566489783793511,-6.983827720759447
-6.623565508456224,-6.623565508456224
-6.660668403286458,-6.660668403286458
-6.536079480584812,-6.536079480584812
-7.00318731425337,-6.6720609880389
-6.284550786055558,-7.06106496712637
-6.510945264984395,-6.856369152407631
-6.243721054326246,-5.69295642909107
-7.054423225888312,-7.054423225888312
-7.002734814302781,-6.627218806317008
-6.3548871987880045,-5.818070396078003
-6.11749120375797,-6.669240161999754
-6.7529175635866325,-6.391954116463116
-7.269261859027525,-6.8910165568999595
-7.285148137909189,-6.541061386227629
-7.038993949468309,-6.6539412379347205
-6.9820531348861685,-6.62757575342944
-6.824551935398154,-7.192762448182824
-6.4745469563041755,-6.886544350489323
-5.817930793108269,-6.30866821029971
-6.842050810516643,-6.4777890001041945
-6.664827990817535,-6.664827990817535
-6.459691693641045,-6.459691693641045
-7.102107374044941,-6.607442768020752
-6.701414705398594,-6.701414705398594
-6.696713579378044,-6.25599437939416
-6.56930403871365,-6.56930403871365
-6.028789410006671,-7.154352738496883
-6.592481326066913,-6.081505766856884
-6.990449476431458,-6.990449476431458
-7.129531889974784,-7.129531889974784
-5.993846052280359,-5.993846052280359
-6.7218000832108205,-6.7218000832108205
-6.1545324716901275,-6.573519197448871
-7.26815689632045,-7.011361444975188
-6.561190010428653,-6.92795049510492
-6.369534000529998,-6.369534000529998
-6.356750451048343,-6.356750451048343
-6.756806975654855,-6.407822699108074
-6.079719960261276,-6.601430120485644
-5.795020444588678,-6.629481338463467
-6.534501301907421,-6.534501301907421
-7.4271709335158205,-6.044855381120109
-6.383009578750605,-5.856198047041952
-6.259295121968251,-6.259295121968251
-6.8192034445836,-6.8192034445836
-7.051281761757933,-6.09215597716789
-6.694558442256527,-6.694558442256527
-6.630941494417186,-6.630941494417186
-6.255623466802643,-6.919424870978737
-6.240154993099612,-5.027842009804367
-6.108815903253237,-6.108815903253237
-6.049146101763764,-6.552008020828052
-6.941182994960853,-6.4931362109696575
-6.5357146521472815,-6.5357146521472815
-6.110010235590296,-6.110010235590296
-5.607089269419768,-6.918318306696858
-6.655773537785782,-6.655773537785782
-7.047716433677039,-7.047716433677039
-6.612631719439095,-6.612631719439095
-6.504027599232925,-6.942835638380273
-6.688519985509268,-6.688519985509268
-6.13582013909342,-6.13582013909342
-6.853461513492511,-6.853461513492511
-7.198905757666305,-6.151440839580021
-5.739692429345593,-6.284797558297359
-6.5521750368459335,-6.5521750368459335
-6.117045000404064,-6.641123633201399
-6.873136674817121,-5.942011497582408
-5.590119481583119,-6.126401355940681
-6.804443907054145,-6.387325877261944
-6.45755982233459,-6.45755982233459
-5.910926416156251,-6.3964563929039135
-5.965482503000873,-6.837414044878407
-6.409042661010494,-6.799076141368888
-6.6194501031695046,-6.06741024353977
-6.405322229637667,-6.405322229637667
-6.523834908993483,-6.979652310120687
-6.349763424342898,-6.349763424342898
-6.520476936712813,-6.520476936712813
-5.952606502971042,-6.467456610316263
-6.323023391675581,-6.323023391675581
-7.051733188676781,-6.646703395800813
-6.110947769632671,-6.110947769632671
-6.571395230141973,-5.969396694844219
-6.878553169967787,-6.514512970568097
