Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-8.378992214,-7.813400018,-7.813400018,-7.813400018,-7.305256683,-7.393207486,-7.393207486,-7.393207486,-7.527026839,-7.146390918,-7.146390918,-7.146390918,-6.881144919,-6.935287838,-7.612773822,-7.612773822,-7.006073088,-7.337451227,-7.337451227,-7.337451227,-7.185613051,-7.151156768,-7.628816537,-7.628816537,-6.616572891,-6.336146545,-6.336146545,-7.113466915,-6.78903137,-7.402384083,-7.402384083,-7.402384083,-6.739742497,-6.611407141,-7.531081695,-7.531081695
-8.013089429,-7.500773445,-7.500773445,-7.500773445,-8.142081374,-7.827055333,-7.827055333,-7.827055333,-6.760245518,-7.125049785,-7.125049785,-7.125049785,-7.167561843,-7.414696465,-7.414696465,-7.414696465,-6.88544174,-6.756228871,-6.756228871,-6.756228871,-7.0873819,-7.106340798,-7.106340798,-7.106340798,-7.001934338,-6.985499079,-6.985499079,-7.676541486,-7.713557221,-7.246434716,-7.246434716,-7.246434716,-6.198935449,-6.656868902,-7.6683177,-7.6683177
-7.779134806,-7.958903518,-7.958903518,-7.958903518,-7.702506061,-7.724676053,-7.724676053,-7.724676053,-7.471051557,-7.245050703,-7.245050703,-7.245050703,-7.835164729,-7.134451837,-7.134451837,-7.599116002,-6.55071666,-6.612087897,-7.188826491,-7.506070676,-7.209480038,-7.06193317,-7.06193317,-7.06193317,-6.743589064,-6.815270647,-6.815270647,-6.815270647,-6.997578706,-6.966327368,-6.966327368,-6.966327368,-6.939210919,-6.805024184,-6.805024184,-6.805024184
-8.384486932,-8.124029749,-8.124029749,-8.124029749,-7.712309963,-7.496324217,-7.496324217,-7.496324217,-7.802829615,-7.564386155,-7.564386155,-7.564386155,-7.110323781,-7.034010123,-7.034010123,-7.034010123,-6.75917051,-6.612094226,-6.612094226,-6.612094226,-6.149329893,-6.296477342,-6.296477342,-6.296477342,-6.766674979,-6.963118486,-6.963118486,-6.963118486,-7.709775926,-6.756371073,-6.756371073,-6.756371073,-6.814706234,-6.82793991,-6.82793991,-6.82793991
-7.250847235,-8.896383118,-8.896383118,-8.896383118,-7.430317324,-7.354040395,-7.354040395,-7.354040395,-7.736043574,-7.617146075,-7.617146075,-7.617146075,-6.701451877,-6.605766807,-6.605766807,-6.605766807,-7.050753768,-6.992856219,-6.992856219,-6.992856219,-7.196828426,-6.999573766,-6.999573766,-7.727758189,-6.206591961,-6.210926093,-6.210926093,-6.210926093,-7.518932102,-6.821649185,-6.821649185,-6.821649185,-7.440338853,-6.745343163,-7.638111305,-7.638111305
-7.480044102,-7.961964018,-7.961964018,-7.961964018,-7.964812493,-8.130160884,-8.130160884,-8.130160884,-7.548342457,-7.556707306,-7.556707306,-7.556707306,-7.005580815,-6.910280845,-6.910280845,-6.910280845,-7.530818284,-7.371153621,-7.371153621,-7.371153621,-6.668390682,-6.648342397,-6.648342397,-6.648342397,-6.560252195,-6.620387488,-6.620387488,-6.620387488,-7.438246229,-6.89243763,-6.89243763,-6.89243763,-8.146851223,-6.531320724,-6.531320724,-6.531320724
-6.953314479,-8.235486289,-8.235486289,-8.235486289,-7.952187863,-7.623368444,-7.623368444,-7.623368444,-7.525046959,-7.282186003,-7.282186003,-7.282186003,-7.225548689,-7.018435452,-7.018435452,-7.018435452,-6.784537589,-6.92485118,-6.92485118,-6.92485118,-7.089415561,-7.05151759,-7.05151759,-7.05151759,-7.390316111,-7.185813701,-7.185813701,-7.185813701,-6.910051214,-7.020177237,-7.020177237,-7.020177237,-7.532592903,-7.340123626,-7.340123626,-7.340123626
-8.556204568,-8.206037283,-8.206037283,-8.206037283,-7.168375005,-6.754056675,-6.754056675,-6.754056675,-7.381585742,-6.727092788,-6.727092788,-6.727092788,-6.59608078,-6.93221611,-6.93221611,-6.93221611,-7.10229402,-7.288600984,-7.288600984,-7.288600984,-6.624946812,-6.686096449,-6.686096449,-6.686096449,-7.359376036,-7.061751821,-7.061751821,-7.061751821,-6.807178989,-6.590038712,-6.590038712,-6.590038712,-7.325475107,-6.68050207,-6.68050207,-6.68050207
-7.524750435,-7.602083146,-7.602083146,-7.602083146,-6.949651876,-7.79615276,-7.79615276,-7.79615276,-8.073577207,-7.356941964,-7.356941964,-7.356941964,-6.668182997,-7.12326563,-7.12326563,-7.12326563,-7.493702146,-7.376775534,-7.376775534,-7.376775534,-6.816294243,-6.10763625,-7.35037799,-7.498841843,-6.780065982,-6.608582804,-6.608582804,-6.608582804,-7.473841426,-6.913273264,-7.643873227,-7.643873227,-6.589868788,-6.304161328,-6.304161328,-6.304161328
-8.20868941,-7.660057188,-7.660057188,-7.660057188,-7.80600978,-7.793553338,-7.793553338,-7.793553338,-7.244925185,-6.755912204,-6.755912204,-6.755912204,-6.790995777,-6.906532901,-6.906532901,-6.906532901,-6.806985926,-6.966149766,-6.966149766,-6.966149766,-7.113914862,-6.683013512,-6.683013512,-6.683013512,-6.940339081,-6.962442429,-6.962442429,-6.962442429,-7.687094105,-6.702301723,-7.675635327,-7.675635327,-8.033601417,-7.346032299,-7.346032299,-7.346032299
