Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-7.942771375,-7.780523528,-7.780523528,-7.780523528,-7.815549922,-7.208938106,-7.208938106,-7.208938106,-6.967902006,-7.004969458,-7.004969458,-7.004969458,-6.968316877,-6.783657976,-6.783657976,-6.783657976,-6.778123738,-7.024808444,-7.024808444,-7.024808444,-7.12409837,-7.139376661,-7.139376661,-7.139376661,-6.789839894,-6.70059087,-6.70059087,-7.426230595,-6.614968529,-7.10167956,-7.10167956,-7.10167956,-7.267077222,-7.143516125,-7.143516125,-7.143516125
-7.980292808,-7.795375412,-7.795375412,-7.795375412,-7.257674047,-7.331183131,-7.331183131,-7.331183131,-7.398630805,-7.238206984,-7.238206984,-7.238206984,-6.724004186,-6.936039022,-6.936039022,-6.936039022,-6.462247433,-6.49027597,-6.49027597,-6.49027597,-6.792965305,-6.719446281,-6.719446281,-6.719446281,-6.941390351,-6.54272646,-6.54272646,-6.54272646,-6.482781789,-6.76662117,-6.76662117,-6.76662117,-6.730475307,-6.730475307,-7.541228577,-7.615174232
-7.59968986,-8.281810572,-8.281810572,-8.281810572,-7.626234,-6.957246159,-6.957246159,-6.957246159,-7.373606577,-6.990748211,-6.990748211,-6.990748211,-6.7092115,-6.16976444,-6.16976444,-6.16976444,-6.996123636,-6.817014976,-6.817014976,-6.817014976,-6.697181725,-6.78577946,-6.78577946,-6.78577946,-6.793390041,-6.458371323,-6.458371323,-6.458371323,-6.826455472,-6.819659605,-7.674401464,-7.674401464,-7.844155751,-7.270032128,-7.270032128,-7.270032128
-8.067549699,-8.226535133,-8.226535133,-8.226535133,-6.810163172,-6.735946958,-6.735946958,-6.735946958,-7.37788989,-7.326516067,-7.326516067,-7.326516067,-6.768405229,-6.434250318,-6.434250318,-6.434250318,-7.257612664,-6.607780946,-6.607780946,-6.607780946,-6.656365842,-6.702528119,-6.702528119,-7.517333656,-6.764749471,-6.849083645,-7.514994743,-7.514994743,-6.816490632,-6.56483519,-7.62668228,-7.663537813,-7.59236987,-6.668952193,-6.668952193,-6.668952193
-8.651080124,-7.812848035,-7.812848035,-7.812848035,-7.137221177,-7.406987117,-7.406987117,-7.406987117,-6.738275396,-6.928462073,-6.928462073,-6.928462073,-7.024638257,-6.780150623,-6.780150623,-7.488703374,-7.521907857,-7.332908487,-7.332908487,-7.332908487,-6.926716492,-6.560939036,-6.560939036,-6.560939036,-7.013526968,-7.038153505,-7.038153505,-7.038153505,-7.194044654,-7.285525947,-7.285525947,-7.285525947,-7.197313625,-6.816521106,-6.816521106,-6.816521106
-7.948710686,-7.421438011,-7.421438011,-7.421438011,-8.035066838,-6.909276537,-6.909276537,-6.909276537,-7.805294128,-7.31043638,-7.31043638,-7.31043638,-6.837034772,-7.345237733,-7.345237733,-7.345237733,-6.226958906,-7.213459271,-7.213459271,-7.213459271,-6.940229414,-6.662849751,-6.662849751,-6.662849751,-6.32470665,-6.973485714,-6.973485714,-6.973485714,-6.676507573,-6.968149546,-6.968149546,-6.968149546,-7.469753771,-6.776187886,-6.776187886,-6.776187886
-8.062366856,-7.56128929,-7.56128929,-7.56128929,-6.927047207,-7.35505362,-7.35505362,-7.35505362,-7.722514185,-7.180309104,-7.180309104,-7.607545581,-7.292648372,-7.123791812,-7.123791812,-7.123791812,-7.099402135,-7.10947121,-7.10947121,-7.10947121,-6.804340256,-7.00167338,-7.00167338,-7.00167338,-6.132067299,-6.326262527,-6.326262527,-7.336501859,-7.093399749,-6.98819593,-7.775541771,-7.775541771,-7.451027075,-6.663201454,-6.663201454,-6.663201454
-7.625683451,-8.113892567,-8.113892567,-8.113892567,-6.165737042,-7.763610646,-7.763610646,-7.763610646,-7.036747965,-7.893058167,-7.893058167,-7.893058167,-6.696540167,-7.039156015,-7.039156015,-7.039156015,-6.684783179,-6.749534804,-6.749534804,-6.749534804,-6.708478966,-6.865304091,-6.865304091,-7.69688852,-6.917963991,-6.781332326,-6.781332326,-6.781332326,-6.999069488,-7.169963444,-7.169963444,-7.169963444,-6.856978562,-6.743113872,-7.320498097,-7.563832246
-7.884429124,-8.113334735,-8.113334735,-8.113334735,-7.231510827,-6.855604078,-6.855604078,-6.855604078,-7.368673607,-6.679465575,-6.679465575,-6.679465575,-6.814681731,-6.504815188,-6.504815188,-6.504815188,-6.709337386,-6.889127114,-6.889127114,-6.889127114,-7.0167202,-7.027646657,-7.027646657,-7.027646657,-7.081856043,-7.955383491,-7.987378554,-7.987378554,-6.852904877,-6.658214826,-7.195668674,-7.195668674,-6.602383205,-6.508787747,-7.623173074,-7.623173074
-7.259749014,-8.107252099,-8.107252099,-8.107252099,-7.128880183,-7.304000394,-7.304000394,-7.304000394,-7.569166602,-7.600377604,-7.600377604,-7.600377604,-7.119406575,-7.032418918,-7.032418918,-7.032418918,-6.826986351,-6.826022091,-6.826022091,-6.826022091,-6.771622028,-6.992737118,-6.992737118,-6.992737118,-6.972960648,-6.662094307,-7.411689761,-7.574368295,-6.844686613,-6.848534804,-7.638166092,-7.638166092,-7.086436238,-7.086436238,-7.086436238,-7.543309643
