Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-7.239375389,0.45,Sectioning,60,200,0
-7.206522587,0.45,NGS,60,200,0
-7.206522587,0.45,UNGS,60,200,0
-7.296020018,0.28,NV,60,200,0
-7.262260535,0.43,Sectioning,70,200,0
-7.186023521,0.41,NGS,70,200,0
-7.16853265,0.45,UNGS,70,200,0
-7.282347665,0.25,NV,70,200,0
-7.273010903,0.41,Sectioning,80,200,0
-7.198487635,0.44,NGS,80,200,0
-7.202249216,0.44,UNGS,80,200,0
-7.326921722,0.35,NV,80,200,0
-7.329725399,0.34,Sectioning,90,200,0
-7.267207358,0.44,NGS,90,200,0
-7.267207358,0.44,UNGS,90,200,0
-7.396441472,0.32,NV,90,200,0
-8.855962476,0,Sectioning,10,100,0
-8.727993285,0,NGS,10,100,0
-8.727993285,0,UNGS,10,100,0
-8.727993285,0,NV,10,100,0
-8.305673056,0.01,Sectioning,20,100,0
-8.219911306,0.01,NGS,20,100,0
-8.221807884,0.01,UNGS,20,100,0
-8.221807884,0.01,NV,20,100,0
-7.962297825,0.01,Sectioning,30,100,0
-7.933046241,0.03,NGS,30,100,0
-7.933046241,0.03,UNGS,30,100,0
-7.942462728,0.03,NV,30,100,0
-7.850374347,0.06,Sectioning,40,100,0
-7.739216439,0.07,NGS,40,100,0
-7.739216439,0.07,UNGS,40,100,0
-7.74448968,0.07,NV,40,100,0
-7.713348209,0.06,Sectioning,50,100,0
-7.684466364,0.09,NGS,50,100,0
-7.684466364,0.09,UNGS,50,100,0
-7.736860538,0.06,NV,50,100,0
-7.687141374,0.07,Sectioning,60,100,0
-7.652723338,0.07,NGS,60,100,0
-7.652723338,0.07,UNGS,60,100,0
-7.690686272,0.02,NV,60,100,0
-7.64040006,0.08,Sectioning,70,100,0
-7.589442435,0.11,NGS,70,100,0
-7.589442435,0.11,UNGS,70,100,0
-7.646060599,0.09,NV,70,100,0
-7.654604614,0.07,Sectioning,80,100,0
