config,n,split,d,reps,method,coverage,coverage_lo,coverage_hi,mean_obj,mean_oracle_gap,meets
paper_dro_wasserstein,100,0.7,10,300,NV,0.42,0.3655060253806384,0.4765168500152888,-7.909839687175866,-0.1651366383439484,False
paper_dro_wasserstein,100,0.7,10,300,UG,0.84,0.7942563251514081,0.8771464544159004,-7.267010550696659,0.4776924981352579,False
paper_dro_wasserstein,100,0.7,10,300,NGS,0.9166666666666666,0.8798783980359391,0.9429191259436057,-6.788450917824989,0.9562521310069284,False
paper_dro_wasserstein,100,0.7,10,300,UNGS,0.97,0.9439774608583589,0.9841381461905676,-2.9653747030850077,4.77932834574691,True
paper_dro_wasserstein,100,0.7,10,300,CV10,0.98,0.9570603791821394,0.9908023684422963,-6.966874558976362,0.7778284898555561,True
paper_dro_wasserstein,100,0.7,10,300,BS3,0.9333333333333333,0.899276940483885,0.9564324844548417,-7.107996645513928,0.6367064033179892,False
paper_dro_wasserstein,100,0.7,10,300,Sec10,0.96,0.9313957879613599,0.9769726785120576,-6.692198533384542,1.0525045154473764,True
paper_dro_wasserstein,100,0.7,10,300,Sec3,0.6466666666666666,0.5910330291100347,0.698591699330765,-7.570520464897885,0.17418258393403296,False
paper_dro_wasserstein,100,0.7,10,300,CV5,0.9366666666666666,0.9032086875144784,0.9590831176160847,-7.191672913018298,0.5530301358136186,False
paper_dro_wasserstein,100,0.7,10,300,BS10,0.9966666666666667,0.9813633063054688,0.9994113422781488,-6.759678327939138,0.98502472089278,True
paper_dro_wasserstein,100,0.7,10,300,CV3,0.9433333333333334,0.9111340419775253,0.9643225235367106,-7.198663029565878,0.5460400192660402,False
paper_dro_wasserstein,100,0.7,10,300,BS5,0.98,0.9570603791821394,0.9908023684422963,-6.957064223294426,0.7876388255374918,True
paper_dro_wasserstein,100,0.7,10,300,Sec5,0.98,0.9570603791821394,0.9908023684422963,-6.6365876102545585,1.1081154385773595,True
paper_saa,100,0.7,10,300,NV,0.2633333333333333,0.21671150294236005,0.3159395034372583,-8.07345202947908,-0.29343258512330195,False
paper_saa,100,0.7,10,300,UG,0.5766666666666667,0.5201332672229635,0.6312614771892728,-7.792024384906763,0.012713468542266569,False
paper_saa,100,0.7,10,300,NGS,0.6,0.5436365963411878,0.653834809413903,-7.764522950234776,0.043498656607924374,False
paper_saa,100,0.7,10,300,UNGS,0.6133333333333333,0.5571245198072374,0.6666764067151987,-7.747879628698368,0.062129240417335224,False
paper_saa,100,0.7,10,300,CV10,0.7633333333333333,0.7120967390716028,0.8079112960834695,-7.620124817915418,0.16153713064420247,False
paper_saa,100,0.7,10,300,BS3,0.7333333333333333,0.680572605868549,0.7801940075599961,-7.671852442228249,0.10814029600303586,False
paper_saa,100,0.7,10,300,Sec10,0.6366666666666667,0.5808316248758691,0.6890459629894217,-7.768946827711911,0.02481018713535377,False
paper_saa,100,0.7,10,300,Sec3,0.37,0.317331727809741,0.42595544470864083,-8.02736551438151,-0.2503375848935206,False
paper_saa,100,0.7,10,300,CV5,0.7233333333333334,0.6701300560341223,0.7708894168189138,-7.666161568175091,0.11863213036903578,False
