config,n,split,d,reps,elapsed_s,method,coverage,coverage_lo,coverage_hi,meets_target,mean_obj,obj_se,mean_oracle_gap,n_reps
paper_saa,400,0.1,10,1000,1.7765858173370361,NV,0.489,0.4581191521232714,0.5199650365634109,False,-7.8593856230654815,0.011027893406786102,-0.04316559558192653,1000
paper_saa,400,0.1,10,1000,1.7765858173370361,UG,0.583,0.5521794617220657,0.6131852963693321,False,-7.778819737588824,0.01253103433075522,0.08952856227600085,1000
paper_saa,400,0.1,10,1000,1.7765858173370361,NGS,0.589,0.5582210567913957,0.6190977801981754,False,-7.767573731730957,0.012799074541372378,0.10824071844549528,1000
paper_saa,400,0.1,10,1000,1.7765858173370361,UNGS,0.591,0.560235954911328,0.6210675750443009,False,-7.762812846402442,0.012937414442563957,0.11616232464934825,1000
paper_saa,400,0.2,10,1000,8.777754068374634,NV,0.624,0.5935575899582508,0.6534933739373314,False,-7.8011652711625175,0.007626738384351719,-0.02568107885423095,1000
paper_saa,400,0.2,10,1000,8.777754068374634,UG,0.886,0.8648073995463684,0.904238342902783,False,-7.5931404592949585,0.008427883229326588,0.19635668136296122,1000
paper_saa,400,0.2,10,1000,8.777754068374634,NGS,0.909,0.88957441593046,0.9252952956283559,False,-7.530803862113181,0.008662917030005907,0.26298816848857215,1000
paper_saa,400,0.2,10,1000,8.777754068374634,UNGS,0.914,0.8949999687497208,0.9298314752242396,False,-7.492136163779165,0.009314259272622647,0.30443264687444205,1000
paper_saa,400,0.3,10,1000,27.26939034461975,NV,0.565,0.5340823279157767,0.595420193481101,False,-7.865652923193839,0.006041469550610413,-0.037723038167129776,1000
paper_saa,400,0.3,10,1000,27.26939034461975,UG,0.948,0.93244426068072,0.9601269637162226,False,-7.562485623354993,0.007196620896116537,0.2671471096231897,1000
paper_saa,400,0.3,10,1000,27.26939034461975,NGS,0.982,0.9717267448294926,0.9885842599904322,True,-7.489509962053361,0.007299649504914466,0.3405632678743282,1000
paper_saa,400,0.3,10,1000,27.26939034461975,UNGS,0.988,0.9791427315245017,0.9931223521935965,True,-7.403733143623774,0.00788405046588157,0.42685785381958796,1000
paper_saa,400,0.4,10,1000,66.60945844650269,NV,0.504,0.4730552793350446,0.5349141065970708,False,-7.902410301352833,0.005812070870817296,-0.042624675749890005,1000
paper_saa,400,0.4,10,1000,66.60945844650269,UG,0.938,0.9213119396866343,0.9513358198800193,False,-7.606035234567339,0.0068525834059329225,0.253750391035604,1000
paper_saa,400,0.4,10,1000,66.60945844650269,NGS,0.978,0.9669143266526004,0.985427292235209,True,-7.480443368326945,0.007173214353905643,0.3793422572759963,1000
paper_saa,400,0.4,10,1000,66.60945844650269,UNGS,0.985,0.9753990230730932,0.9908890211959184,True,-7.386336518199503,0.008055820037585917,0.4734491074034386,1000
paper_saa,400,0.5,10,1000,163.48086285591125,NV,0.463,0.43229566915425255,0.49398751097367855,False,-7.9265956891511395,0.005953143954207432,-0.045855732400979905,1000
paper_saa,400,0.5,10,1000,163.48086285591125,UG,0.917,0.8982635048659464,0.9325449785571007,False,-7.62639488693036,0.006992699793284652,0.254345069819801,1000
paper_saa,400,0.5,10,1000,163.48086285591125,NGS,0.99,0.9816905311296853,0.9945592455544707,True,-7.4480907677695765,0.007651718729501961,0.43264918898058363,1000
paper_saa,400,0.5,10,1000,163.48086285591125,UNGS,0.988,0.9791427315245017,0.9931223521935965,True,-7.329187873600254,0.008803030430269101,0.5515520831499068,1000
