config,n,split,d,alpha,beta,df,corr,method,coverage,mean_obj,target,meets
paper_ro_ellipsoid,500,0.5,10,0.2,,,,UG,1.0,-8.120338109841242,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.2,,,,NGS,1.0,-8.039940711686093,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.2,,,,UNGS,1.0,-8.113696695632653,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.2,,,,benchmark,1.0,-7.307723683523137,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.3,,,,NV,1.0,-8.27707542491231,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.3,,,,UG,1.0,-8.27707542491231,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.3,,,,NGS,1.0,-8.27707542491231,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.3,,,,UNGS,1.0,-8.27707542491231,0.95,True
paper_ro_ellipsoid,500,0.5,10,0.3,,,,benchmark,1.0,-7.616426541457871,0.95,True
paper_saa,400,0.5,10,0.01,,,,NV,0.006,-7.028110840699894,0.95,False
paper_saa,400,0.5,10,0.01,,,,UG,0.006,-7.024687948390258,0.95,False
paper_saa,400,0.5,10,0.01,,,,NGS,0.006,-7.024171550662735,0.95,False
paper_saa,400,0.5,10,0.01,,,,UNGS,0.006,-7.024755714991703,0.95,False
paper_saa,400,0.5,10,0.02,,,,NV,0.092,-7.108792744910625,0.95,False
paper_saa,400,0.5,10,0.02,,,,UG,0.12,-7.077073330277114,0.95,False
paper_saa,400,0.5,10,0.02,,,,NGS,0.122,-7.077650152641224,0.95,False
paper_saa,400,0.5,10,0.02,,,,UNGS,0.12,-7.079463248384886,0.95,False
paper_saa,400,0.5,10,0.05,,,,NV,0.462,-7.370935126530858,0.95,False
paper_saa,400,0.5,10,0.05,,,,UG,0.796,-7.1576197138402,0.95,False
paper_saa,400,0.5,10,0.05,,,,NGS,0.87,-7.092388981400481,0.95,False
paper_saa,400,0.5,10,0.05,,,,UNGS,0.88,-7.065509957344495,0.95,False
paper_saa,400,0.5,10,0.15,,,,NV,0.528,-8.307495039671284,0.95,False
paper_saa,400,0.5,10,0.15,,,,UG,0.934,-8.012075457066324,0.95,False
paper_saa,400,0.5,10,0.15,,,,NGS,0.978,-7.866929548892096,0.95,True
paper_saa,400,0.5,10,0.15,,,,UNGS,0.976,-7.820711738751132,0.95,True
paper_saa,400,0.5,10,0.1,,,,NV,0.438,-7.93702050515072,0.95,False
paper_saa,400,0.5,10,0.1,,,,UG,0.928,-7.629780556821222,0.95,False
paper_saa,400,0.5,10,0.1,,,,NGS,0.992,-7.458456691361871,0.95,True
paper_saa,400,0.5,10,0.1,,,,UNGS,0.99,-7.35396473673531,0.95,True
paper_saa,400,0.5,10,0.2,,,,NV,0.496,-8.647940513853102,0.95,False
paper_saa,400,0.5,10,0.2,,,,UG,0.934,-8.356162343664764,0.95,False
paper_saa,400,0.5,10,0.2,,,,NGS,0.992,-8.215146247558167,0.95,True
paper_saa,400,0.5,10,0.2,,,,UNGS,0.988,-8.20918008755986,0.95,True
paper_saa,400,0.5,10,0.3,,,,NV,0.616,-9.214397566819258,0.95,False
paper_saa,400,0.5,10,0.3,,,,UG,0.98,-8.927750052834208,0.95,True
paper_saa,400,0.5,10,0.3,,,,NGS,0.994,-8.808840021500849,0.95,True
paper_saa,400,0.5,10,0.3,,,,UNGS,0.99,-8.838147702902106,0.95,True
paper_so,500,0.5,10,0.01,,,,NV,0.006,-6.985390257356468,0.95,False
paper_so,500,0.5,10,0.01,,,,UG,0.006,-6.982249411606759,0.95,False
paper_so,500,0.5,10,0.01,,,,NGS,0.006,-6.980793424797777,0.95,False
paper_so,500,0.5,10,0.01,,,,UNGS,0.006,-6.982576406029792,0.95,False
paper_so,500,0.5,10,0.01,,,,benchmark,0.16,-6.643627806709778,0.95,False
paper_so,500,0.5,10,0.02,,,,NV,0.136,-6.973534852346572,0.95,False
paper_so,500,0.5,10,0.02,,,,UG,0.192,-6.9439710664898335,0.95,False
paper_so,500,0.5,10,0.02,,,,NGS,0.198,-6.941770091409086,0.95,False
paper_so,500,0.5,10,0.02,,,,UNGS,0.2,-6.94191963411135,0.95,False
paper_so,500,0.5,10,0.02,,,,benchmark,0.864,-6.640908525102379,0.95,False
paper_so,500,0.5,10,0.05,,,,NV,0.662,-7.203623822748858,0.95,False
paper_so,500,0.5,10,0.05,,,,UG,0.932,-7.014592927437912,0.95,False
paper_so,500,0.5,10,0.05,,,,NGS,0.946,-6.9921104828008644,0.95,False
paper_so,500,0.5,10,0.05,,,,UNGS,0.958,-6.940319039588991,0.95,True
paper_so,500,0.5,10,0.05,,,,benchmark,1.0,-6.64267875892526,0.95,True
paper_so,500,0.5,10,0.15,,,,NV,0.834,-7.958297175865911,0.95,False
paper_so,500,0.5,10,0.15,,,,UG,0.982,-7.759715694146936,0.95,True
paper_so,500,0.5,10,0.15,,,,NGS,0.996,-7.65950810224425,0.95,True
paper_so,500,0.5,10,0.15,,,,UNGS,0.998,-7.597183832258693,0.95,True
paper_so,500,0.5,10,0.15,,,,benchmark,1.0,-6.649560931369691,0.95,True
paper_so,500,0.5,10,0.1,,,,NV,0.762,-7.652237938448547,0.95,False
paper_so,500,0.5,10,0.1,,,,UG,0.986,-7.430541312475381,0.95,True
paper_so,500,0.5,10,0.1,,,,NGS,0.998,-7.327292233752224,0.95,True
paper_so,500,0.5,10,0.1,,,,UNGS,1.0,-7.152342501400796,0.95,True
paper_so,500,0.5,10,0.1,,,,benchmark,1.0,-6.643442852727477,0.95,True
paper_so,500,0.5,10,0.2,,,,NV,0.898,-8.220628297776319,0.95,False
paper_so,500,0.5,10,0.2,,,,UG,0.992,-8.034463107018453,0.95,True
paper_so,500,0.5,10,0.2,,,,NGS,0.996,-7.947924030837428,0.95,True
paper_so,500,0.5,10,0.2,,,,UNGS,0.994,-7.935375402356891,0.95,True
paper_so,500,0.5,10,0.2,,,,benchmark,1.0,-6.6359109579929445,0.95,True
paper_so,500,0.5,10,0.3,,,,NV,0.914,-8.649590814834607,0.95,False
paper_so,500,0.5,10,0.3,,,,UG,0.996,-8.43036341213903,0.95,True
paper_so,500,0.5,10,0.3,,,,NGS,1.0,-8.35835826332146,0.95,True
paper_so,500,0.5,10,0.3,,,,UNGS,1.0,-8.383264972755935,0.95,True
paper_so,500,0.5,10,0.3,,,,benchmark,1.0,-6.641631945854794,0.95,True
