matrix,config,formulation,n,split,d,reps,method,coverage,coverage_lo,coverage_hi,meets_target,mean_obj,obj_se,mean_oracle_gap,mean_excess_s,failure_rate,n_reps
split,paper_saa,,400,0.2,10,300,NV,0.6,0.5436365963411878,0.653834809413903,False,-7.815560403784163,0.012471790973444289,-0.038650702891589034,-0.00345985401459854,0.0,300
split,paper_saa,,400,0.2,10,300,UG,0.86,0.8161683876490509,0.8947286730692758,False,-7.604422354086139,0.015652075134082555,0.19129187720428587,0.010554744525547444,0.0,300
split,paper_saa,,400,0.2,10,300,NGS,0.8833333333333333,0.8420668566758442,0.9149068653853369,False,-7.5419900271757765,0.01599721777427041,0.25903011946533216,0.015109489051094886,0.0,300
split,paper_saa,,400,0.2,10,300,UNGS,0.89,0.8495437677561146,0.9205947146887394,False,-7.508312617649108,0.01720664597643619,0.29590319558942274,0.016554744525547442,0.0,300
split,paper_so,,500,0.1,10,300,NV,0.5566666666666666,0.5000873808268701,0.6118130824343481,False,-7.783346875803127,0.01651962437965762,-0.0378246550189092,-1.2731481481481481,0.0,300
split,paper_so,,500,0.1,10,300,UG,0.6966666666666667,0.642431561442127,0.7459288698762181,False,-7.705401509891124,0.018270759226445176,0.0692172791379768,4.5,0.0,300
split,paper_so,,500,0.1,10,300,NGS,0.7,0.6458824752950584,0.749060336215123,False,-7.694006724240018,0.018752149565387736,0.08504337032006956,5.467592592592593,0.0,300
split,paper_so,,500,0.1,10,300,UNGS,0.7033333333333334,0.6493365822398648,0.7521886094621532,False,-7.67106821462733,0.01966718064735127,0.11690241144880273,8.050925925925926,0.0,300
split,paper_so,,500,0.1,10,300,benchmark,1.0,0.9873570287754538,0.9999999999999998,True,-6.644212040052769,0.01101954894432828,0.9938193263685873,,0.0,300
split,paper_so,,500,0.2,10,300,NV,0.6866666666666666,0.6320976883026915,0.7365156024401446,False,-7.691626460347282,0.015737568159834278,-0.03593841779144423,-1.1864406779661016,0.0,300
split,paper_so,,500,0.2,10,300,UG,0.9533333333333334,0.923202639772079,0.9720010663176659,True,-7.512972575077907,0.014535779176074928,0.14574349943165069,14.166101694915254,0.0,300
split,paper_so,,500,0.2,10,300,NGS,0.98,0.9570603791821394,0.9908023684422963,True,-7.453584961793219,0.01383109230866692,0.2061376824330273,20.216949152542373,0.0,300
split,paper_so,,500,0.2,10,300,UNGS,0.98,0.9570603791821394,0.9908023684422963,True,-7.3882569817634645,0.014423295905199359,0.27257291636159037,28.325423728813558,0.0,300
split,paper_so,,500,0.2,10,300,benchmark,1.0,0.9873570287754538,0.9999999999999998,True,-6.6383780410981394,0.01125788657796945,1.0113149921185252,,0.0,300
split,paper_saa,,400,0.1,10,300,NV,0.5066666666666667,0.45036683073695566,0.5627979296467172,False,-7.851232751980806,0.019910087272724444,-0.021924897102714218,-0.0013114754098360656,0.0,300
split,paper_saa,,400,0.1,10,300,UG,0.59,0.5335482149789318,0.6441760502006498,False,-7.76883908552965,0.022609020706311916,0.10998829384861054,0.00944262295081967,0.0,300
split,paper_saa,,400,0.1,10,300,NGS,0.5933333333333334,0.5369084052348393,0.6473982401365789,False,-7.758576741528494,0.023019757208457614,0.12681180860460683,0.011016393442622952,0.0,300
split,paper_saa,,400,0.1,10,300,UNGS,0.5933333333333334,0.5369084052348393,0.6473982401365789,False,-7.758178188547461,0.023050430737045262,0.1274651741472826,0.011016393442622952,0.0,300
robust,robust_ro_ellipsoid_t,,1000,0.5,10,200,NV,0.965,0.9295293884777092,0.9829444579914328,True,-7.9879275374328245,0.01605643358735071,0.03581160591187548,0.08008381452339287,0.0,200
robust,robust_ro_ellipsoid_t,,1000,0.5,10,200,UG,0.995,0.9722262956021069,0.9991168312843989,True,-7.72929150239246,0.0219613071703566,0.2944476409522407,0.6863916396311502,0.0,200
robust,robust_ro_ellipsoid_t,,1000,0.5,10,200,NGS,1.0,0.9811546736227335,1.0,True,-7.5957430376895365,0.02053162382852122,0.4279961056551643,1.003105885465016,0.0,200
robust,robust_ro_ellipsoid_t,,1000,0.5,10,200,UNGS,1.0,0.9811546736227335,1.0,True,-7.685018474940136,0.021736140024032197,0.33872066840456555,0.7904849481948024,0.0,200
robust,robust_ro_ellipsoid_t,,1000,0.5,10,200,benchmark,1.0,0.9811546736227335,1.0,True,-6.90163439839718,0.0,1.1221047449475205,,0.0,200
robust,robust_ro_ellipsoid_t,,200,0.5,10,200,NV,0.815,0.7554293723884824,0.8626980719938395,False,-7.925301062029755,0.021244512201396816,-0.04734604585884378,-0.10260280032908403,0.0,200
robust,robust_ro_ellipsoid_t,,200,0.5,10,200,UG,0.98,0.9497129130941735,0.9921955735836505,True,-7.552890507553927,0.02447907289867079,0.3250645086169838,1.0195100453278336,0.0,200
robust,robust_ro_ellipsoid_t,,200,0.5,10,200,NGS,0.995,0.9722262956021069,0.9991168312843989,True,-7.386761886857969,0.025221085819802057,0.49119312931294246,1.6320137907431251,0.0,200
robust,robust_ro_ellipsoid_t,,200,0.5,10,200,UNGS,0.995,0.9722262956021069,0.9991168312843989,True,-7.306143122850707,0.031588343152224974,0.5718118933202045,2.120770290727396,0.0,200
robust,robust_ro_ellipsoid_t,,200,0.5,10,200,benchmark,1.0,0.9811546736227335,1.0,True,-6.90163439839718,0.0,0.9763206177737319,,0.0,200
robust,robust_dro_wasserstein_t,,100,0.5,10,200,NV,0.455,0.387482193098835,0.524213886275119,False,-8.16974643403195,0.03207054962611072,-0.13235071481423002,-0.0038911091120458485,0.0,200
robust,robust_dro_wasserstein_t,,100,0.5,10,200,UG,0.89,0.839073090026985,0.926227555398747,False,-7.383818585950064,0.04510424782018748,0.6535771332676547,0.06467210652318985,0.0,200
robust,robust_dro_wasserstein_t,,100,0.5,10,200,NGS,0.92,0.874010511732856,0.9501594141102401,False,-7.051048603234038,0.056775889203841225,0.9863471159836825,0.11199561647362476,0.0,200
robust,robust_dro_wasserstein_t,,100,0.5,10,200,UNGS,0.97,0.9361057075454807,0.9861796856598887,True,-4.966239205558475,0.16305992060769853,3.0711565136592447,1.1614248473402335,0.0,200
robust,robust_ro_ellipsoid_t,,500,0.5,10,200,NV,0.91,0.8622342812328346,0.9423125511378069,False,-7.944770418805108,0.018425283053172977,0.009886985554262418,0.02526900801217223,0.0,200
robust,robust_ro_ellipsoid_t,,500,0.5,10,200,UG,0.99,0.9642782382838231,0.9972533418664555,True,-7.646354323185451,0.019768313211217987,0.30830308117391964,0.7565932896336622,0.0,200
robust,robust_ro_ellipsoid_t,,500,0.5,10,200,NGS,0.995,0.9722262956021069,0.9991168312843989,True,-7.537743135992709,0.01826623297836388,0.41691426836666223,1.0395352334350816,0.0,200
robust,robust_ro_ellipsoid_t,,500,0.5,10,200,UNGS,0.99,0.9642782382838231,0.9972533418664555,True,-7.609413526947024,0.02071581014615233,0.34524387741234797,0.8680822504353037,0.0,200
robust,robust_ro_ellipsoid_t,,500,0.5,10,200,benchmark,1.0,0.9811546736227335,1.0,True,-6.90163439839718,0.0,1.0530230059621912,,0.0,200
robust,robust_dro_wasserstein_t,,200,0.5,10,200,NV,0.515,0.44610849192745716,0.5833261482812249,False,-8.16526507999434,0.023535009306259076,-0.06492021512807407,4.611645232771425e-05,0.0,200
