Cross Validation,Bootstrapping
-6.191231341421034,-6.191231341421034
-5.85050033478304,-5.85050033478304
-6.160258418867835,-6.160258418867835
-6.739251153892287,-6.739251153892287
-5.926618159687469,-5.926618159687469
-6.140806360489208,-6.140806360489208
-6.322098940335345,-6.322098940335345
-5.8769824877821515,-5.8769824877821515
-5.979399908580261,-5.979399908580261
-5.176025368216752,-5.887787309648605
-6.243862612206243,-6.243862612206243
-5.047193836438761,-5.762120148984792
-5.198645273518598,-5.9043622778285725
-6.4319196973063395,-5.911784807591169
-5.958416679463971,-5.958416679463971
-5.9599625357237365,-5.9599625357237365
-7.001933535788596,-6.074007803405953
-6.118756632404237,-5.308590580881726
-6.005235419887495,-6.005235419887495
-6.285648449090854,-6.819049913171157
-5.878776145909664,-6.530007284409852
-6.750089924624868,-6.1785332199288145
-6.090635096940153,-6.090635096940153
-6.0925751673777295,-6.0925751673777295
-6.023674739498269,-6.023674739498269
-6.193616405024977,-6.193616405024977
-5.84544410897627,-5.84544410897627
-6.589724378025896,-6.028990485022826
-5.7055460209738715,-5.7055460209738715
-6.668555500680276,-6.095428552545769
-6.667712258780596,-6.121580473789979
-6.690742280950127,-6.690742280950127
-6.142019026698285,-6.142019026698285
-5.681766089531752,-4.9495597749668265
-6.6790800497401115,-6.150443543849507
-5.835956271926372,-5.835956271926372
-5.9061214794075685,-5.9061214794075685
-6.569322748593077,-5.9985129532255135
-6.344105767487657,-6.906848949065266
-5.834212044698187,-5.834212044698187
-6.24082000663396,-6.24082000663396
-6.854330193691806,-6.250350765225062
-6.060967256973466,-6.060967256973466
-6.932307644601438,-6.272238115009113
-5.9355939413866015,-5.152899354838275
-6.265615090791304,-6.265615090791304
-7.312822200007961,-7.312822200007961
-6.176661585314267,-6.176661585314267
-6.326286659454637,-6.326286659454637
-6.7652477329944,-6.240722278147246
-5.132137660367637,-5.978785882829402
-5.69805651831939,-5.69805651831939
-6.401716353621133,-6.401716353621133
-5.072119980711792,-5.805410249898271
-6.051967316702649,-6.051967316702649
-6.7718797709990755,-5.979943091951617
-6.050839301383743,-6.595983769234378
-5.453125796936728,-5.453125796936728
-5.867777068020784,-5.867777068020784
-6.123967279750354,-6.123967279750354
-5.794512635050359,-6.4696097167712665
-6.671475313282378,-6.1017516395634965
-6.306388763520642,-6.859335407132722
-6.301532544023525,-6.301532544023525
-6.185846115058537,-6.185846115058537
-6.157090665349395,-6.157090665349395
-6.099213979801392,-6.099213979801392
-5.956076276157558,-6.444883170668422
-6.079525690708705,-6.765318621947055
-6.302926445480498,-6.302926445480498
-7.337734060437992,-7.337734060437992
-6.747382032979709,-6.747382032979709
-6.327112817680223,-6.327112817680223
-6.003254302821232,-6.003254302821232
-6.340585991621121,-6.340585991621121
-5.292381342515812,-5.292381342515812
-5.335598663453679,-6.174127304988389
-6.834100102303679,-6.173585632876815
-5.187037545764959,-5.187037545764959
-5.806563868296397,-5.806563868296397
-6.216712447511304,-6.216712447511304
-5.89945022248822,-5.89945022248822
-7.0314678029784865,-7.397413969077545
-6.292820047156729,-6.292820047156729
-6.7132583199573075,-6.042825341865391
-5.7472788564531285,-5.7472788564531285
-6.168517507281067,-6.168517507281067
-6.299841015087452,-6.299841015087452
-6.002845424042895,-6.002845424042895
-6.771779776637517,-6.174508495395996
-6.602203654929447,-6.057651646030852
-5.578757728490956,-5.578757728490956
-6.008273957691522,-6.008273957691522
-6.08748480872768,-6.7573796753424356
-6.109101470667457,-6.109101470667457
-5.135628720775338,-5.83166852217458
-6.6947969814612875,-6.17570248521889
-5.102240403175571,-5.834243236804989
-5.728957997026106,-5.728957997026106
-6.237084906641687,-6.237084906641687
