Sectioning,NGS,UNGS,NV,Sectioning.1,NGS.1,UNGS.1,NV.1,Sectioning.2,NGS.2,UNGS.2,NV.2,Sectioning.3,NGS.3,UNGS.3,NV.3,Sectioning.4,NGS.4,UNGS.4,NV.4,Sectioning.5,NGS.5,UNGS.5,NV.5,Sectioning.6,NGS.6,UNGS.6,NV.6,Sectioning.7,NGS.7,UNGS.7,NV.7,Sectioning,NGS,UNGS,NV
-9.009067858921814,-8.536683796426173,-8.536683796426173,-8.536683796426173,-8.85433053408315,-8.287986935388854,-8.287986935388854,-8.287986935388854,-7.958118951527444,-8.112894836819635,-8.112894836819635,-8.112894836819635,-7.696751839823174,-7.81990646190857,-7.81990646190857,-7.81990646190857,-7.857709505997136,-8.611710523770011,-8.611710523770011,-8.611710523770011,-7.357072582327778,-7.653875963305173,-7.653875963305173,-7.653875963305173,-7.276443762699953,-7.265978302880116,-7.265978302880116,-7.991705758105715,-7.470571598998332,-7.444608272927739,-7.444608272927739,-7.815366919674724,-6.70113119878805,-6.701131198788051,-6.701131198788051,-6.701131198788051
-9.542204464246256,-8.693179516811547,-8.693179516811547,-8.693179516811547,-7.669367293054961,-9.271582372731404,-9.271582372731404,-9.271582372731404,-8.423738656868146,-8.463689244122445,-8.463689244122445,-8.463689244122445,-7.282894113967136,-6.969545322553657,-6.969545322553657,-6.969545322553657,-7.539354716558752,-7.873378665545193,-7.873378665545193,-7.873378665545193,-7.60162049114203,-7.174716894103978,-7.174716894103978,-7.585308084816602,-7.695740548741068,-7.183716522949111,-7.183716522949111,-7.183716522949111,-7.963372478571522,-7.717638427403379,-7.717638427403379,-7.717638427403379,-8.361229019412523,-7.59473022403043,-7.59473022403043,-7.59473022403043
-8.471397175217733,-9.20719549637013,-9.20719549637013,-9.20719549637013,-7.34748806108296,-9.01050487952402,-9.01050487952402,-9.01050487952402,-7.9968364370675,-8.117684600098626,-8.117684600098626,-8.117684600098626,-8.223133657299911,-8.32951799390147,-8.32951799390147,-8.32951799390147,-7.567073614730586,-7.058430643111761,-7.058430643111761,-7.058430643111761,-7.771219823356513,-7.725789503707054,-7.725789503707054,-7.725789503707054,-7.894413424517864,-7.894413424517864,-7.750505351087588,-7.894413424517864,-8.070482268188627,-7.681472768830383,-7.681472768830383,-8.070482268188627,-7.812506690356772,-7.591975029391207,-6.899182854231171,-7.591975029391207
-8.716111615693105,-8.621919768851251,-8.621919768851251,-8.621919768851251,-8.288471727497196,-8.419612906991366,-8.419612906991366,-8.419612906991366,-7.649029570002595,-7.780982544447715,-7.780982544447715,-7.780982544447715,-8.31640196163431,-8.084264943895695,-8.084264943895695,-8.084264943895695,-8.089933150329614,-7.613831370220364,-7.613831370220364,-7.613831370220364,-7.912625361199649,-7.890606673339142,-7.890606673339142,-7.890606673339142,-7.534351446909992,-7.529781413432224,-7.529781413432224,-7.529781413432224,-7.255830965799675,-7.277425569860711,-7.277425569860711,-7.899070220908694,-7.8667428060092,-7.843515222893762,-7.843515222893762,-7.843515222893762
-9.20196523891209,-8.68307195161171,-8.68307195161171,-8.68307195161171,-8.106338584835761,-8.296678921328594,-8.296678921328594,-8.296678921328594,-8.11485048995451,-7.780501414028588,-7.780501414028588,-7.780501414028588,-8.228012187508721,-7.977819533183728,-7.977819533183728,-7.977819533183728,-7.390167040791862,-7.305132607171495,-7.305132607171495,-7.305132607171495,-7.945205268736698,-8.21279299527173,-8.21279299527173,-8.21279299527173,-7.701606379873704,-7.626454724207335,-7.626454724207335,-7.626454724207335,-7.847078358847238,-7.7691076193312,-7.7691076193312,-7.7691076193312,-7.345903801817032,-7.333089432232008,-7.333089432232008,-7.333089432232008
-8.781856698857258,-9.03562926697245,-9.03562926697245,-9.03562926697245,-8.353509312388224,-7.997481122297516,-7.997481122297516,-7.997481122297516,-8.233365955553637,-8.048955528397679,-8.048955528397679,-8.048955528397679,-7.317331429121666,-7.216626268507401,-7.216626268507401,-7.216626268507401,-7.7677117461117025,-7.300526980574293,-7.300526980574293,-7.300526980574293,-6.640753582713474,-8.240981147444039,-8.240981147444039,-8.240981147444039,-7.217273102738593,-7.281511635984545,-7.281511635984545,-7.926240842513442,-7.35050398805375,-7.693505828507659,-7.693505828507659,-7.693505828507659,-8.269325269943309,-7.337674513283021,-7.337674513283021,-7.337674513283021
-9.331370964505108,-8.432980543527474,-8.432980543527474,-8.432980543527474,-8.626307242427284,-7.626067199624339,-7.626067199624339,-7.626067199624339,-7.247523535768463,-7.213425931732751,-7.213425931732751,-7.213425931732751,-7.609381802119637,-7.5207097219551855,-7.5207097219551855,-7.5207097219551855,-8.025137302853008,-7.642784467969886,-7.642784467969886,-7.971628627422929,-7.208033110807748,-7.243778273111428,-7.243778273111428,-7.243778273111428,-6.972659484038507,-7.448646412118776,-7.448646412118776,-7.448646412118776,-7.195886497781363,-7.120374939987195,-7.120374939987195,-7.6319641107224605,-7.991305923163136,-7.94130961988086,-6.9974244733632505,-7.94130961988086
-7.356190005712549,-9.382134449468587,-9.382134449468587,-9.382134449468587,-6.480921891757415,-6.48594767087201,-6.48594767087201,-6.48594767087201,-8.317819953755865,-8.211286743596157,-8.211286743596157,-8.211286743596157,-7.443297214729371,-8.121735732093812,-8.121735732093812,-8.121735732093812,-7.1917976114235085,-6.547156901228879,-6.547156901228879,-7.180239823892735,-7.784686491401317,-6.4195384139901535,-6.4195384139901535,-8.370036412462513,-7.6775632644119645,-7.4143551521855935,-7.4143551521855935,-7.806580216982661,-7.498233886511629,-8.242725437105307,-8.242725437105307,-8.242725437105307,-8.296274255236494,-7.852306438000282,-7.489980659210767,-7.852306438000282
-9.065979900691431,-8.153781859865896,-8.153781859865896,-8.153781859865896,-8.884587249797459,-8.002892311108184,-8.002892311108184,-8.002892311108184,-7.663637508862792,-7.917866758832157,-7.917866758832157,-7.917866758832157,-7.999295980999912,-7.456908674259937,-7.456908674259937,-7.456908674259937,-8.155720144666581,-7.676108589042911,-7.676108589042911,-7.676108589042911,-7.573004787304471,-7.377517342047984,-7.377517342047984,-7.377517342047984,-7.5879640983017875,-7.463842697050658,-7.463842697050658,-7.85373413201483,-8.405785511871894,-7.282253814121402,-7.282253814121402,-7.282253814121402,-7.770422749016816,-7.770422749016811,-7.770422749016811,-7.770422749016811
-8.848623335337038,-8.755364460499756,-8.755364460499756,-8.755364460499756,-8.206574798566363,-8.770652949072147,-8.770652949072147,-8.770652949072147,-7.637641230271928,-8.100657746909958,-8.100657746909958,-8.100657746909958,-8.202447621962321,-8.52498285504447,-8.52498285504447,-8.52498285504447,-7.668889278357263,-7.291767186918744,-7.291767186918744,-7.291767186918744,-7.090946577079245,-7.4182012918666995,-7.4182012918666995,-7.578112415032998,-7.46827447096533,-7.535875766142894,-7.535875766142894,-7.535875766142894,-8.18031169488015,-7.031698489820276,-7.031698489820276,-8.070316765552946,-8.41969481446967,-8.328460368125267,-8.328460368125267,-8.328460368125267
