Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-7.43589783468782,0.34,NGS,90,60,0
-3.844792457417481,0.61,UNGS,90,60,0
-7.43589783468782,0.34,NV,90,60,0
-7.43589783468782,0.34,UG,90,60,0
-6.007836728900737,0.99,NGS,10,80,0
-1.600532377028496,0.99,UNGS,10,80,0
-6.5747626104230825,0.82,NV,10,80,0
-6.007836728900737,0.99,UG,10,80,0
-6.232492504386748,0.92,NGS,20,80,0
-2.089581140136266,0.98,UNGS,20,80,0
-6.751716556775935,0.75,NV,20,80,0
-6.232492504386748,0.92,UG,20,80,0
-5.995535383887592,0.95,NGS,30,80,0
-1.646614633322703,0.98,UNGS,30,80,0
-6.703975474801163,0.77,NV,30,80,0
-6.34633256074962,0.92,UG,30,80,0
-6.01332764868532,0.98,NGS,40,80,0
-1.5447597476279007,0.99,UNGS,40,80,0
-6.9860914665703,0.63,NV,40,80,0
-6.561553135407632,0.85,UG,40,80,0
-6.140304171133556,0.92,NGS,50,80,0
-1.8694981214196928,0.96,UNGS,50,80,0
-7.216133623516592,0.48,NV,50,80,0
-6.140304171133556,0.92,UG,50,80,0
-6.25101700255207,0.91,NGS,60,80,0
-1.5765487762491892,0.97,UNGS,60,80,0
-6.96177302126353,0.59,NV,60,80,0
-6.25101700255207,0.91,UG,60,80,0
-6.43037504527966,0.82,NGS,70,80,0
-1.4315098928170715,0.96,UNGS,70,80,0
-7.178921425872288,0.49,NV,70,80,0
-6.43037504527966,0.82,UG,70,80,0
-6.756114362358552,0.61,NGS,80,80,0
-1.5550928420688146,0.94,UNGS,80,80,0
-6.756114362358552,0.61,NV,80,80,0
-6.756114362358552,0.61,UG,80,80,0
-7.423423193940724,0.3,NGS,90,80,0
-3.2777285898647155,0.69,UNGS,90,80,0
-7.423423193940724,0.3,NV,90,80,0
-7.423423193940724,0.3,UG,90,80,0
-5.970235797830287,0.98,NGS,10,100,0
-1.764082428068046,0.99,UNGS,10,100,0
-6.515789252973102,0.81,NV,10,100,0
-6.13454700289343,0.98,UG,10,100,0
-6.0056529879182845,0.98,NGS,20,100,0
-2.2162074794029305,0.97,UNGS,20,100,0
-6.891061980538953,0.68,NV,20,100,0
-6.332584627163056,0.93,UG,20,100,0
-6.166107117475612,0.96,NGS,30,100,0
-1.8417656165826564,0.98,UNGS,30,100,0
-6.875551065861092,0.71,NV,30,100,0
-6.166107117475612,0.96,UG,30,100,0
-6.328480820544968,0.91,NGS,40,100,0
-1.9601601532223043,0.97,UNGS,40,100,0
-7.106247815333959,0.53,NV,40,100,0
-6.328480820544968,0.91,UG,40,100,0
-6.009495150477063,0.95,NGS,50,100,0
-1.443669055763483,0.98,UNGS,50,100,0
-6.964030344925285,0.62,NV,50,100,0
-6.5557789340483055,0.84,UG,50,100,0
-6.194294176810408,0.9,NGS,60,100,0
-1.743582532600989,0.95,UNGS,60,100,0
-7.23356985201716,0.47,NV,60,100,0
-6.194294176810408,0.9,UG,60,100,0
-6.369757423152762,0.88,NGS,70,100,0
-1.6829510858183658,0.96,UNGS,70,100,0
-7.09290315726447,0.49,NV,70,100,0
-6.369757423152762,0.88,UG,70,100,0
-6.654050336143314,0.68,NGS,80,100,0
-1.5602975887127346,0.94,UNGS,80,100,0
-7.410100412146078,0.3,NV,80,100,0
-6.654050336143314,0.68,UG,80,100,0
-7.353631953400759,0.34,NGS,90,100,0
-3.339652606796101,0.68,UNGS,90,100,0
-7.353631953400759,0.34,NV,90,100,0
-7.353631953400759,0.34,UG,90,100,0
-6.102625854701404,0.96,NGS,10,120,0
-2.406312823873652,1.0,UNGS,10,120,0
-6.6631047055080055,0.79,NV,10,120,0
-6.314432832806364,0.92,UG,10,120,0
-6.278853983963399,0.99,NGS,20,120,0
-1.978468743602904,1.0,UNGS,20,120,0
-6.8156521838050335,0.74,NV,20,120,0
-6.302279227630083,0.99,UG,20,120,0
-6.092062769200445,0.98,NGS,30,120,0
-2.558269680004228,0.99,UNGS,30,120,0
-6.90529332836795,0.72,NV,30,120,0
-6.404041925695088,0.94,UG,30,120,0
-6.222606512414104,0.97,NGS,40,120,0
-1.5237743403001542,0.99,UNGS,40,120,0
-6.795744471072084,0.81,NV,40,120,0
-6.222606512414104,0.97,UG,40,120,0
-6.578171203743518,0.83,NGS,50,120,0
-1.83031839861476,1.0,UNGS,50,120,0
-7.193941111328713,0.45,NV,50,120,0
-6.5875582353571325,0.83,UG,50,120,0
-6.0650400561004645,0.98,NGS,60,120,0
-1.6538209052116843,0.99,UNGS,60,120,0
-7.069705910191418,0.52,NV,60,120,0
-6.646193589470105,0.83,UG,60,120,0
-6.405164569419381,0.87,NGS,70,120,0
-1.9518007835492623,0.93,UNGS,70,120,0
-7.00193623496178,0.6,NV,70,120,0
-6.405164569419381,0.87,UG,70,120,0
-6.59121320996148,0.83,NGS,80,120,0
-1.3639840497902396,0.97,UNGS,80,120,0
-7.290742274615342,0.45,NV,80,120,0
-6.59121320996148,0.83,UG,80,120,0
-7.1476393210454034,0.42,NGS,90,120,0
-2.643458613066832,0.78,UNGS,90,120,0
-7.1476393210454034,0.42,NV,90,120,0
-7.1476393210454034,0.42,UG,90,120,0
-6.242527478778393,0.96,NGS,10,140,0
-3.2231830094984515,0.98,UNGS,10,140,0
-6.680661903010138,0.77,NV,10,140,0
-6.2548161405692895,0.95,UG,10,140,0
-6.258030316431908,0.96,NGS,20,140,0
-2.789452141381584,0.97,UNGS,20,140,0
-6.900848092388213,0.72,NV,20,140,0
-6.484260506238937,0.9,UG,20,140,0
-6.335691297268609,0.95,NGS,30,140,0
-2.10674162494421,0.98,UNGS,30,140,0
-6.808696437312058,0.77,NV,30,140,0
-6.342115903186097,0.95,UG,30,140,0
-6.34872344303771,0.94,NGS,40,140,0
-2.575696054516174,0.99,UNGS,40,140,0
-7.08573767003801,0.57,NV,40,140,0
-6.660949839537931,0.89,UG,40,140,0
-6.446862220378997,0.89,NGS,50,140,0
-2.020881351187005,0.97,UNGS,50,140,0
-7.07877987405997,0.6,NV,50,140,0
-6.446862220378997,0.89,UG,50,140,0
-6.294359941211463,0.89,NGS,60,140,0
-1.827169995886024,0.95,UNGS,60,140,0
-7.056360328969306,0.62,NV,60,140,0
-6.660494798854635,0.84,UG,60,140,0
-6.228899785324876,0.91,NGS,70,140,0
-1.8310305945512555,0.94,UNGS,70,140,0
-7.220122801708045,0.52,NV,70,140,0
-6.228899785324876,0.91,UG,70,140,0
-6.560685077129523,0.79,NGS,80,140,0
-1.649265744154786,0.95,UNGS,80,140,0
-7.228404413933592,0.47,NV,80,140,0
-6.560685077129523,0.79,UG,80,140,0
-6.833619417559703,0.63,NGS,90,140,0
-1.949049703697428,0.88,UNGS,90,140,0
-6.833619417559703,0.63,NV,90,140,0
-6.833619417559703,0.63,UG,90,140,0
-6.121522932972713,0.99,NGS,10,160,0
-4.445828030281034,0.99,UNGS,10,160,0
-6.725243723668569,0.84,NV,10,160,0
-6.250200750813874,0.98,UG,10,160,0
-6.328449724414127,0.98,NGS,20,160,0
-3.907506858337812,1.0,UNGS,20,160,0
-6.866015863085988,0.76,NV,20,160,0
-6.347634816689727,0.98,UG,20,160,0
-6.208827766254297,0.98,NGS,30,160,0
-2.870810900328133,0.99,UNGS,30,160,0
-6.855871444182213,0.79,NV,30,160,0
-6.474778584594708,0.96,UG,30,160,0
-6.466327520672702,0.89,NGS,40,160,0
-2.830012596509842,0.98,UNGS,40,160,0
-6.992092502875398,0.62,NV,40,160,0
