Cross Validation,Bootstrapping,Cross Validation.1,Bootstrapping.1,Cross Validation,Bootstrapping
-6.838877875528901,-6.608619700862692,-7.371143876221493,-7.266193702406971,-6.461098740807956,-6.500545708461978
-7.562519296131216,-6.9365329663875865,-6.74149126262887,-6.263157043245823,-7.127555804544609,-6.557160328946767
-6.40068435702847,-6.638049268600381,-6.464579888386639,-6.35711865384449,-6.062196982518393,-6.062196982518393
-6.4128799010933735,-6.474821491951484,-6.4713012644404015,-6.4713012644404015,-6.9955157531215475,-6.894296554409401
-6.645831418600597,-6.645831418600597,-6.492298514207051,-6.492298514207051,-6.485715904758318,-6.859379410716877
-6.608727126087659,-6.608727126087659,-6.204808111410072,-6.221379323196144,-6.4075492420743085,-6.4075492420743085
-6.682704759498977,-6.682704759498977,-6.478153940896044,-6.478153940896044,-6.9824520010738205,-6.9824520010738205
-7.068107229080601,-6.831277696435463,-6.547928537224608,-6.547928537224608,-6.660150773252769,-6.660150773252769
-6.749625549088972,-6.749625549088972,-6.654508073002335,-6.654508073002335,-7.021118528128534,-7.021118528128534
-6.452425668530985,-6.452425668530985,-6.0752385183312665,-6.0752385183312665,-6.626623561064767,-6.626623561064767
-6.163058629862793,-6.406308990217716,-6.667919083244892,-6.667919083244892,-7.1443080507093235,-6.890579321111244
-6.300012954458312,-6.300012954458312,-6.427446977878187,-6.852897496179212,-5.890290685459498,-5.890290685459498
-6.525124089588124,-6.5924982719785445,-6.942909569047161,-6.942909569047161,-7.026139293952091,-7.026139293952091
-6.762063515864077,-6.762063515864077,-6.498665088157325,-6.498665088157325,-6.724760979598346,-6.724760979598346
-6.378291301752255,-6.378291301752255,-7.429234409655969,-6.728513908420339,-7.051835578456697,-7.051835578456697
-7.112864586569459,-6.679111703649628,-7.0037505705003404,-6.462079686917377,-7.005574308925283,-7.005574308925283
-6.47981288095718,-6.783070936424588,-6.65930715420903,-6.401221001473083,-7.091825630961123,-6.790112314929137
-6.80943948021456,-6.529599261761182,-6.646115690772672,-6.5625109967221,-6.278477728977801,-6.278477728977801
-6.557173914794497,-6.557173914794497,-6.891233970123126,-6.596512849077323,-7.209194190321521,-7.209194190321521
-6.738962892123703,-6.738962892123703,-6.320325312186565,-6.32024870381812,-5.984561622185503,-6.815729593526098
-6.334586621189447,-6.271237569094843,-6.929326277975443,-6.571544821425832,-6.574298621793805,-6.480276445225089
-6.5426805211462975,-6.90718258125798,-6.277610673604771,-6.163531856488741,-6.306758727491713,-6.263932316699833
-6.633484270209786,-6.535318063560612,-6.3656131670889575,-6.6831352792877015,-6.90634223285002,-6.489880245233517
-6.92529501399216,-6.92529501399216,-6.528848350346287,-6.528848350346287,-6.367962935954478,-6.270080504536912
-7.250583617825058,-6.870100586530371,-7.080344641538805,-6.574719466957804,-7.139340848866686,-7.139340848866686
-6.934922309159382,-6.6190416866377095,-6.605886015681038,-6.880254872108953,-6.788299174316499,-6.788299174316499
-6.681244671725199,-7.260715030179106,-6.851693551191153,-6.677760405134269,-6.56900983233597,-6.56900983233597
-6.868831846553549,-7.214475397200368,-6.94780193664074,-6.531869897404391,-6.197699908278125,-6.132445677678831
-6.302191411351612,-6.473168078325153,-6.50075227522632,-6.50075227522632,-7.388499772829842,-7.001781452444022
-6.605846840170763,-6.605846840170763,-6.565040950530744,-6.565040950530744,-6.807720967343978,-6.61851364555842
-6.865416061444611,-6.487527360583156,-6.904230878377799,-6.626039028911224,-6.631613549194723,-6.56780876374177
-6.658455117760837,-6.658455117760837,-6.58676879861078,-6.58676879861078,-6.952848130225219,-6.952848130225219
-6.372352510508557,-6.372352510508557,-6.417145575560715,-6.417145575560715,-6.454229952934815,-6.454229952934815
-6.907189591531887,-6.907189591531887,-6.888263488241273,-7.193746801552561,-7.211949930959473,-7.0086833183588215
-6.747499299519963,-6.747499299519963,-6.572607138821458,-6.998550630151522,-6.450224968294096,-6.450224968294096
-6.802355071897607,-6.741731225428127,-6.584520433147008,-6.496995738415874,-6.79395642398367,-6.607783700007737
-6.849036981950163,-6.922703586899476,-6.371874031405053,-6.371874031405053,-6.8530887790406565,-6.8530887790406565
-6.7194183652433805,-6.268317501627297,-6.791292882960019,-6.611890652660663,-7.117724176939771,-6.705137364962706
-6.808312228268812,-6.808312228268812,-6.476475401381038,-6.476475401381038,-6.998109896001057,-6.667961738708753
-6.527015132517993,-6.527015132517993,-6.948276617154252,-6.73822538128951,-6.606030156276103,-7.248634890951276
-7.405635515721051,-6.751295181088622,-6.966917875172364,-6.966917875172364,-6.569265347780641,-7.0262931311869465
-6.641529797392593,-6.641529797392593,-6.826411970951819,-6.826411970951819,-6.457241381270755,-6.7815505391442805
-6.884125294280206,-6.884125294280206,-6.827631907622055,-6.827631907622055,-6.55213178732914,-6.55213178732914
