Objective,Feasibility,Algorithm,Training Percentage,Data Size,Folds
-7.123739019068526,0.8,NV,60,300,0
-6.788145869669162,0.98,UG,60,300,0
-6.543688108662995,1.0,Sectioning,70,300,0
-6.6057509785466735,0.96,NGS,70,300,0
-6.1929251670738426,1.0,UNGS,70,300,0
-7.046354741515504,0.81,NV,70,300,0
-6.712061978451775,0.96,UG,70,300,0
-6.731969192475226,0.96,Sectioning,80,300,0
-6.728253185829106,0.92,NGS,80,300,0
-6.30504530088405,0.95,UNGS,80,300,0
-7.121908508961502,0.77,NV,80,300,0
-6.728253185829106,0.92,UG,80,300,0
-7.148644742777066,0.7,Sectioning,90,300,0
-6.6934998005233615,0.87,NGS,90,300,0
-6.6934998005233615,0.87,UNGS,90,300,0
-7.189221988751491,0.71,NV,90,300,0
-6.693499800523364,0.87,UG,90,300,0
-6.417020869464708,1.0,Sectioning,10,400,0
-6.71269202408608,0.99,NGS,10,400,0
-6.556895310655732,1.0,UNGS,10,400,0
-7.030174505336913,0.76,NV,10,400,0
-6.816092197213846,0.95,UG,10,400,0
-6.51913567986547,1.0,Sectioning,20,400,0
-6.723567477750611,1.0,NGS,20,400,0
-6.584861561529874,1.0,UNGS,20,400,0
-7.07252156422714,0.79,NV,20,400,0
-6.817396728419683,1.0,UG,20,400,0
-6.630261463521897,1.0,Sectioning,30,400,0
-6.728405223459497,0.99,NGS,30,400,0
-6.637519187435093,1.0,UNGS,30,400,0
-7.077322767402417,0.8,NV,30,400,0
-6.874603990831041,0.94,UG,30,400,0
-6.769502531106656,0.96,Sectioning,40,400,0
-6.804319957074012,0.98,NGS,40,400,0
-6.642753258370175,0.99,UNGS,40,400,0
-7.11771172958382,0.78,NV,40,400,0
-6.893837750684673,0.96,UG,40,400,0
-6.889347822583091,0.91,Sectioning,50,400,0
-6.729743657629488,1.0,NGS,50,400,0
-6.586155843198833,1.0,UNGS,50,400,0
-7.123035557190779,0.76,NV,50,400,0
-6.838555823577399,0.99,UG,50,400,0
-6.354712089672677,1.0,Sectioning,60,400,0
-6.744487099797733,0.98,NGS,60,400,0
-6.507147132848689,1.0,UNGS,60,400,0
-7.10852805708497,0.8,NV,60,400,0
-6.865050512521858,0.97,UG,60,400,0
-6.392743635791574,0.99,Sectioning,70,400,0
-6.705029125587065,0.98,NGS,70,400,0
-6.381726385282702,1.0,UNGS,70,400,0
-7.1084833665086204,0.84,NV,70,400,0
-6.805130797525003,0.98,UG,70,400,0
-6.595040988385549,1.0,Sectioning,80,400,0
-6.555176609521048,0.99,NGS,80,400,0
-6.21815990382663,0.99,UNGS,80,400,0
-7.111259563033937,0.89,NV,80,400,0
-6.832060064946149,0.98,UG,80,400,0
